数据可用,公司信息,基本面,起始日期,结算日期,起始价,结算价,周收益率,涨跌标签
True,"{""股票代码"": ""603021"", ""股票简称"": ""*ST华鹏"", ""总股本"": 319948070.0, ""流通股"": 319948070.0, ""总市值"": 2246035451.4, ""流通市值"": 2246035451.4, ""行业"": ""家居用品"", ""上市时间"": ""2015-04-23""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""10.07%"", ""营业总收入同比增长率"": ""-10.24%"", ""流动比率"": ""0.21"", ""速动比率"": ""0.11"", ""资产负债率"": ""99.14%""}",2025-05-28,2025-06-01,3.57,3.71,0.03921568627450989,涨4
True,"{""股票代码"": ""603021"", ""股票简称"": ""*ST华鹏"", ""总股本"": 319948070.0, ""流通股"": 319948070.0, ""总市值"": 2246035451.4, ""流通市值"": 2246035451.4, ""行业"": ""家居用品"", ""上市时间"": ""2015-04-23""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""10.07%"", ""营业总收入同比增长率"": ""-10.24%"", ""流动比率"": ""0.21"", ""速动比率"": ""0.11"", ""资产负债率"": ""99.14%""}",2025-06-04,2025-06-08,3.71,3.84,0.03504043126684642,涨4
True,"{""股票代码"": ""603021"", ""股票简称"": ""*ST华鹏"", ""总股本"": 319948070.0, ""流通股"": 319948070.0, ""总市值"": 2246035451.4, ""流通市值"": 2246035451.4, ""行业"": ""家居用品"", ""上市时间"": ""2015-04-23""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""10.07%"", ""营业总收入同比增长率"": ""-10.24%"", ""流动比率"": ""0.21"", ""速动比率"": ""0.11"", ""资产负债率"": ""99.14%""}",2025-06-11,2025-06-15,3.84,3.82,-0.00520833333333337,跌1
True,"{""股票代码"": ""603021"", ""股票简称"": ""*ST华鹏"", ""总股本"": 319948070.0, ""流通股"": 319948070.0, ""总市值"": 2246035451.4, ""流通市值"": 2246035451.4, ""行业"": ""家居用品"", ""上市时间"": ""2015-04-23""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""10.07%"", ""营业总收入同比增长率"": ""-10.24%"", ""流动比率"": ""0.21"", ""速动比率"": ""0.11"", ""资产负债率"": ""99.14%""}",2025-06-18,2025-06-22,3.82,3.5,-0.08376963350785338,跌5+
True,"{""股票代码"": ""603021"", ""股票简称"": ""*ST华鹏"", ""总股本"": 319948070.0, ""流通股"": 319948070.0, ""总市值"": 2246035451.4, ""流通市值"": 2246035451.4, ""行业"": ""家居用品"", ""上市时间"": ""2015-04-23""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""10.07%"", ""营业总收入同比增长率"": ""-10.24%"", ""流动比率"": ""0.21"", ""速动比率"": ""0.11"", ""资产负债率"": ""99.14%""}",2025-06-25,2025-06-29,3.5,3.62,0.03428571428571425,涨4
True,"{""股票代码"": ""603021"", ""股票简称"": ""*ST华鹏"", ""总股本"": 319948070.0, ""流通股"": 319948070.0, ""总市值"": 2246035451.4, ""流通市值"": 2246035451.4, ""行业"": ""家居用品"", ""上市时间"": ""2015-04-23""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""7.01%"", ""营业总收入同比增长率"": ""-10.81%"", ""流动比率"": ""0.21"", ""速动比率"": ""0.11"", ""资产负债率"": ""101.16%""}",2025-07-02,2025-07-06,3.62,3.6,-0.0055248618784530246,跌1
True,"{""股票代码"": ""603021"", ""股票简称"": ""*ST华鹏"", ""总股本"": 319948070.0, ""流通股"": 319948070.0, ""总市值"": 2246035451.4, ""流通市值"": 2246035451.4, ""行业"": ""家居用品"", ""上市时间"": ""2015-04-23""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""7.01%"", ""营业总收入同比增长率"": ""-10.81%"", ""流动比率"": ""0.21"", ""速动比率"": ""0.11"", ""资产负债率"": ""101.16%""}",2025-07-09,2025-07-13,3.6,3.57,-0.008333333333333415,跌1
True,"{""股票代码"": ""603021"", ""股票简称"": ""*ST华鹏"", ""总股本"": 319948070.0, ""流通股"": 319948070.0, ""总市值"": 2246035451.4, ""流通市值"": 2246035451.4, ""行业"": ""家居用品"", ""上市时间"": ""2015-04-23""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""7.01%"", ""营业总收入同比增长率"": ""-10.81%"", ""流动比率"": ""0.21"", ""速动比率"": ""0.11"", ""资产负债率"": ""101.16%""}",2025-07-16,2025-07-20,3.57,3.58,0.0028011204481792618,平
True,"{""股票代码"": ""603021"", ""股票简称"": ""*ST华鹏"", ""总股本"": 319948070.0, ""流通股"": 319948070.0, ""总市值"": 2246035451.4, ""流通市值"": 2246035451.4, ""行业"": ""家居用品"", ""上市时间"": ""2015-04-23""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""7.01%"", ""营业总收入同比增长率"": ""-10.81%"", ""流动比率"": ""0.21"", ""速动比率"": ""0.11"", ""资产负债率"": ""101.16%""}",2025-07-23,2025-07-27,3.58,3.52,-0.016759776536312887,跌2
True,"{""股票代码"": ""603021"", ""股票简称"": ""*ST华鹏"", ""总股本"": 319948070.0, ""流通股"": 319948070.0, ""总市值"": 2246035451.4, ""流通市值"": 2246035451.4, ""行业"": ""家居用品"", ""上市时间"": ""2015-04-23""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""7.01%"", ""营业总收入同比增长率"": ""-10.81%"", ""流动比率"": ""0.21"", ""速动比率"": ""0.11"", ""资产负债率"": ""101.16%""}",2025-07-30,2025-08-03,3.52,3.66,0.03977272727272729,涨4
