数据可用,公司信息,基本面,起始日期,结算日期,起始价,结算价,周收益率,涨跌标签
True,"{""股票代码"": ""300842"", ""股票简称"": ""帝科股份"", ""总股本"": 145279743.0, ""流通股"": 129121440.0, ""总市值"": 13282926902.490002, ""流通市值"": 11805573259.2, ""行业"": ""光伏设备"", ""上市时间"": ""2020-06-18""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""-80.29%"", ""营业总收入同比增长率"": ""11.29%"", ""流动比率"": ""1.14"", ""速动比率"": ""1.05"", ""资产负债率"": ""82.00%""}",2025-05-28,2025-06-01,41.05,39.09,-0.04774665042630921,跌5
True,"{""股票代码"": ""300842"", ""股票简称"": ""帝科股份"", ""总股本"": 145279743.0, ""流通股"": 129121440.0, ""总市值"": 13282926902.490002, ""流通市值"": 11805573259.2, ""行业"": ""光伏设备"", ""上市时间"": ""2020-06-18""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""-80.29%"", ""营业总收入同比增长率"": ""11.29%"", ""流动比率"": ""1.14"", ""速动比率"": ""1.05"", ""资产负债率"": ""82.00%""}",2025-06-04,2025-06-08,39.09,42.68,0.09183934510104885,涨5+
True,"{""股票代码"": ""300842"", ""股票简称"": ""帝科股份"", ""总股本"": 145279743.0, ""流通股"": 129121440.0, ""总市值"": 13282926902.490002, ""流通市值"": 11805573259.2, ""行业"": ""光伏设备"", ""上市时间"": ""2020-06-18""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""-80.29%"", ""营业总收入同比增长率"": ""11.29%"", ""流动比率"": ""1.14"", ""速动比率"": ""1.05"", ""资产负债率"": ""82.00%""}",2025-06-11,2025-06-15,42.68,41.6,-0.025304592314901564,跌3
True,"{""股票代码"": ""300842"", ""股票简称"": ""帝科股份"", ""总股本"": 145279743.0, ""流通股"": 129121440.0, ""总市值"": 13282926902.490002, ""流通市值"": 11805573259.2, ""行业"": ""光伏设备"", ""上市时间"": ""2020-06-18""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""-80.29%"", ""营业总收入同比增长率"": ""11.29%"", ""流动比率"": ""1.14"", ""速动比率"": ""1.05"", ""资产负债率"": ""82.00%""}",2025-06-18,2025-06-22,41.6,40.72,-0.02115384615384619,跌3
True,"{""股票代码"": ""300842"", ""股票简称"": ""帝科股份"", ""总股本"": 145279743.0, ""流通股"": 129121440.0, ""总市值"": 13282926902.490002, ""流通市值"": 11805573259.2, ""行业"": ""光伏设备"", ""上市时间"": ""2020-06-18""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""-80.29%"", ""营业总收入同比增长率"": ""11.29%"", ""流动比率"": ""1.14"", ""速动比率"": ""1.05"", ""资产负债率"": ""82.00%""}",2025-06-25,2025-06-29,40.72,43.16,0.05992141453831046,涨5+
True,"{""股票代码"": ""300842"", ""股票简称"": ""帝科股份"", ""总股本"": 145279743.0, ""流通股"": 129121440.0, ""总市值"": 13282926902.490002, ""流通市值"": 11805573259.2, ""行业"": ""光伏设备"", ""上市时间"": ""2020-06-18""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""-38.49%"", ""营业总收入同比增长率"": ""8.67%"", ""流动比率"": ""1.16"", ""速动比率"": ""1.10"", ""资产负债率"": ""80.42%""}",2025-07-02,2025-07-06,43.16,43.62,0.01065801668211308,涨2
True,"{""股票代码"": ""300842"", ""股票简称"": ""帝科股份"", ""总股本"": 145279743.0, ""流通股"": 129121440.0, ""总市值"": 13282926902.490002, ""流通市值"": 11805573259.2, ""行业"": ""光伏设备"", ""上市时间"": ""2020-06-18""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""-38.49%"", ""营业总收入同比增长率"": ""8.67%"", ""流动比率"": ""1.16"", ""速动比率"": ""1.10"", ""资产负债率"": ""80.42%""}",2025-07-09,2025-07-13,43.62,45.51,0.04332874828060529,涨5
True,"{""股票代码"": ""300842"", ""股票简称"": ""帝科股份"", ""总股本"": 145279743.0, ""流通股"": 129121440.0, ""总市值"": 13282926902.490002, ""流通市值"": 11805573259.2, ""行业"": ""光伏设备"", ""上市时间"": ""2020-06-18""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""-38.49%"", ""营业总收入同比增长率"": ""8.67%"", ""流动比率"": ""1.16"", ""速动比率"": ""1.10"", ""资产负债率"": ""80.42%""}",2025-07-16,2025-07-20,45.51,44.94,-0.012524719841793042,跌2
True,"{""股票代码"": ""300842"", ""股票简称"": ""帝科股份"", ""总股本"": 145279743.0, ""流通股"": 129121440.0, ""总市值"": 13282926902.490002, ""流通市值"": 11805573259.2, ""行业"": ""光伏设备"", ""上市时间"": ""2020-06-18""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""-38.49%"", ""营业总收入同比增长率"": ""8.67%"", ""流动比率"": ""1.16"", ""速动比率"": ""1.10"", ""资产负债率"": ""80.42%""}",2025-07-23,2025-07-27,44.94,44.67,-0.006008010680907838,跌1
True,"{""股票代码"": ""300842"", ""股票简称"": ""帝科股份"", ""总股本"": 145279743.0, ""流通股"": 129121440.0, ""总市值"": 13282926902.490002, ""流通市值"": 11805573259.2, ""行业"": ""光伏设备"", ""上市时间"": ""2020-06-18""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""-38.49%"", ""营业总收入同比增长率"": ""8.67%"", ""流动比率"": ""1.16"", ""速动比率"": ""1.10"", ""资产负债率"": ""80.42%""}",2025-07-30,2025-08-03,44.67,43.62,-0.023505708529214298,跌3
