数据可用,公司信息,基本面,起始日期,结算日期,起始价,结算价,周收益率,涨跌标签
True,"{""股票代码"": ""002057"", ""股票简称"": ""中钢天源"", ""总股本"": 753883706.0, ""流通股"": 753313909.0, ""总市值"": 7342827296.440001, ""流通市值"": 7337277473.66, ""行业"": ""专业服务"", ""上市时间"": ""2006-08-02""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""28.91%"", ""营业总收入同比增长率"": ""19.08%"", ""流动比率"": ""2.34"", ""速动比率"": ""2.03"", ""资产负债率"": ""32.06%""}",2025-05-28,2025-06-01,7.91,7.95,0.005056890012642201,涨1
True,"{""股票代码"": ""002057"", ""股票简称"": ""中钢天源"", ""总股本"": 753883706.0, ""流通股"": 753313909.0, ""总市值"": 7342827296.440001, ""流通市值"": 7337277473.66, ""行业"": ""专业服务"", ""上市时间"": ""2006-08-02""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""28.91%"", ""营业总收入同比增长率"": ""19.08%"", ""流动比率"": ""2.34"", ""速动比率"": ""2.03"", ""资产负债率"": ""32.06%""}",2025-06-04,2025-06-08,7.95,8.17,0.02767295597484276,涨3
True,"{""股票代码"": ""002057"", ""股票简称"": ""中钢天源"", ""总股本"": 753883706.0, ""流通股"": 753313909.0, ""总市值"": 7342827296.440001, ""流通市值"": 7337277473.66, ""行业"": ""专业服务"", ""上市时间"": ""2006-08-02""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""28.91%"", ""营业总收入同比增长率"": ""19.08%"", ""流动比率"": ""2.34"", ""速动比率"": ""2.03"", ""资产负债率"": ""32.06%""}",2025-06-11,2025-06-15,8.17,8.61,0.05385556915544676,涨5+
True,"{""股票代码"": ""002057"", ""股票简称"": ""中钢天源"", ""总股本"": 753883706.0, ""流通股"": 753313909.0, ""总市值"": 7342827296.440001, ""流通市值"": 7337277473.66, ""行业"": ""专业服务"", ""上市时间"": ""2006-08-02""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""28.91%"", ""营业总收入同比增长率"": ""19.08%"", ""流动比率"": ""2.34"", ""速动比率"": ""2.03"", ""资产负债率"": ""32.06%""}",2025-06-18,2025-06-22,8.61,8.72,0.012775842044134844,涨2
True,"{""股票代码"": ""002057"", ""股票简称"": ""中钢天源"", ""总股本"": 753883706.0, ""流通股"": 753313909.0, ""总市值"": 7342827296.440001, ""流通市值"": 7337277473.66, ""行业"": ""专业服务"", ""上市时间"": ""2006-08-02""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""28.91%"", ""营业总收入同比增长率"": ""19.08%"", ""流动比率"": ""2.34"", ""速动比率"": ""2.03"", ""资产负债率"": ""32.06%""}",2025-06-25,2025-06-29,8.72,9.24,0.059633027522935755,涨5+
True,"{""股票代码"": ""002057"", ""股票简称"": ""中钢天源"", ""总股本"": 753883706.0, ""流通股"": 753313909.0, ""总市值"": 7342827296.440001, ""流通市值"": 7337277473.66, ""行业"": ""专业服务"", ""上市时间"": ""2006-08-02""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""57.14%"", ""营业总收入同比增长率"": ""15.05%"", ""流动比率"": ""2.45"", ""速动比率"": ""2.12"", ""资产负债率"": ""31.02%""}",2025-07-02,2025-07-06,9.24,8.96,-0.030303030303030276,跌4
True,"{""股票代码"": ""002057"", ""股票简称"": ""中钢天源"", ""总股本"": 753883706.0, ""流通股"": 753313909.0, ""总市值"": 7342827296.440001, ""流通市值"": 7337277473.66, ""行业"": ""专业服务"", ""上市时间"": ""2006-08-02""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""57.14%"", ""营业总收入同比增长率"": ""15.05%"", ""流动比率"": ""2.45"", ""速动比率"": ""2.12"", ""资产负债率"": ""31.02%""}",2025-07-09,2025-07-13,8.96,9.23,0.030133928571428603,涨4
True,"{""股票代码"": ""002057"", ""股票简称"": ""中钢天源"", ""总股本"": 753883706.0, ""流通股"": 753313909.0, ""总市值"": 7342827296.440001, ""流通市值"": 7337277473.66, ""行业"": ""专业服务"", ""上市时间"": ""2006-08-02""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""57.14%"", ""营业总收入同比增长率"": ""15.05%"", ""流动比率"": ""2.45"", ""速动比率"": ""2.12"", ""资产负债率"": ""31.02%""}",2025-07-16,2025-07-20,9.23,9.25,0.0021668472372697867,平
True,"{""股票代码"": ""002057"", ""股票简称"": ""中钢天源"", ""总股本"": 753883706.0, ""流通股"": 753313909.0, ""总市值"": 7342827296.440001, ""流通市值"": 7337277473.66, ""行业"": ""专业服务"", ""上市时间"": ""2006-08-02""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""57.14%"", ""营业总收入同比增长率"": ""15.05%"", ""流动比率"": ""2.45"", ""速动比率"": ""2.12"", ""资产负债率"": ""31.02%""}",2025-07-23,2025-07-27,9.25,10.54,0.13945945945945937,涨5+
True,"{""股票代码"": ""002057"", ""股票简称"": ""中钢天源"", ""总股本"": 753883706.0, ""流通股"": 753313909.0, ""总市值"": 7342827296.440001, ""流通市值"": 7337277473.66, ""行业"": ""专业服务"", ""上市时间"": ""2006-08-02""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""57.14%"", ""营业总收入同比增长率"": ""15.05%"", ""流动比率"": ""2.45"", ""速动比率"": ""2.12"", ""资产负债率"": ""31.02%""}",2025-07-30,2025-08-03,10.54,9.6,-0.08918406072106255,跌5+
