数据可用,公司信息,基本面,起始日期,结算日期,起始价,结算价,周收益率,涨跌标签
True,"{""股票代码"": ""002593"", ""股票简称"": ""日上集团"", ""总股本"": 803858029.0, ""流通股"": 560504329.0, ""总市值"": 4131830269.06, ""流通市值"": 2880992251.06, ""行业"": ""专业工程"", ""上市时间"": ""2011-06-28""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""-25.46%"", ""营业总收入同比增长率"": ""-1.36%"", ""流动比率"": ""1.42"", ""速动比率"": ""0.82"", ""资产负债率"": ""51.74%""}",2025-05-28,2025-06-01,4.81,4.83,0.004158004158004269,平
True,"{""股票代码"": ""002593"", ""股票简称"": ""日上集团"", ""总股本"": 803858029.0, ""流通股"": 560504329.0, ""总市值"": 4131830269.06, ""流通市值"": 2880992251.06, ""行业"": ""专业工程"", ""上市时间"": ""2011-06-28""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""-25.46%"", ""营业总收入同比增长率"": ""-1.36%"", ""流动比率"": ""1.42"", ""速动比率"": ""0.82"", ""资产负债率"": ""51.74%""}",2025-06-04,2025-06-08,4.83,4.94,0.022774327122153215,涨3
True,"{""股票代码"": ""002593"", ""股票简称"": ""日上集团"", ""总股本"": 803858029.0, ""流通股"": 560504329.0, ""总市值"": 4131830269.06, ""流通市值"": 2880992251.06, ""行业"": ""专业工程"", ""上市时间"": ""2011-06-28""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""-25.46%"", ""营业总收入同比增长率"": ""-1.36%"", ""流动比率"": ""1.42"", ""速动比率"": ""0.82"", ""资产负债率"": ""51.74%""}",2025-06-11,2025-06-15,4.94,4.72,-0.044534412955465674,跌5
True,"{""股票代码"": ""002593"", ""股票简称"": ""日上集团"", ""总股本"": 803858029.0, ""流通股"": 560504329.0, ""总市值"": 4131830269.06, ""流通市值"": 2880992251.06, ""行业"": ""专业工程"", ""上市时间"": ""2011-06-28""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""-25.46%"", ""营业总收入同比增长率"": ""-1.36%"", ""流动比率"": ""1.42"", ""速动比率"": ""0.82"", ""资产负债率"": ""51.74%""}",2025-06-18,2025-06-22,4.72,4.54,-0.03813559322033888,跌4
True,"{""股票代码"": ""002593"", ""股票简称"": ""日上集团"", ""总股本"": 803858029.0, ""流通股"": 560504329.0, ""总市值"": 4131830269.06, ""流通市值"": 2880992251.06, ""行业"": ""专业工程"", ""上市时间"": ""2011-06-28""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""-25.46%"", ""营业总收入同比增长率"": ""-1.36%"", ""流动比率"": ""1.42"", ""速动比率"": ""0.82"", ""资产负债率"": ""51.74%""}",2025-06-25,2025-06-29,4.54,4.83,0.0638766519823788,涨5+
True,"{""股票代码"": ""002593"", ""股票简称"": ""日上集团"", ""总股本"": 803858029.0, ""流通股"": 560504329.0, ""总市值"": 4131830269.06, ""流通市值"": 2880992251.06, ""行业"": ""专业工程"", ""上市时间"": ""2011-06-28""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""66.20%"", ""营业总收入同比增长率"": ""23.16%"", ""流动比率"": ""1.43"", ""速动比率"": ""0.86"", ""资产负债率"": ""51.84%""}",2025-07-02,2025-07-06,4.83,4.84,0.0020703933747412417,平
True,"{""股票代码"": ""002593"", ""股票简称"": ""日上集团"", ""总股本"": 803858029.0, ""流通股"": 560504329.0, ""总市值"": 4131830269.06, ""流通市值"": 2880992251.06, ""行业"": ""专业工程"", ""上市时间"": ""2011-06-28""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""66.20%"", ""营业总收入同比增长率"": ""23.16%"", ""流动比率"": ""1.43"", ""速动比率"": ""0.86"", ""资产负债率"": ""51.84%""}",2025-07-09,2025-07-13,4.84,4.94,0.02066115702479343,涨3
True,"{""股票代码"": ""002593"", ""股票简称"": ""日上集团"", ""总股本"": 803858029.0, ""流通股"": 560504329.0, ""总市值"": 4131830269.06, ""流通市值"": 2880992251.06, ""行业"": ""专业工程"", ""上市时间"": ""2011-06-28""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""66.20%"", ""营业总收入同比增长率"": ""23.16%"", ""流动比率"": ""1.43"", ""速动比率"": ""0.86"", ""资产负债率"": ""51.84%""}",2025-07-16,2025-07-20,4.94,4.95,0.002024291497975561,平
True,"{""股票代码"": ""002593"", ""股票简称"": ""日上集团"", ""总股本"": 803858029.0, ""流通股"": 560504329.0, ""总市值"": 4131830269.06, ""流通市值"": 2880992251.06, ""行业"": ""专业工程"", ""上市时间"": ""2011-06-28""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""66.20%"", ""营业总收入同比增长率"": ""23.16%"", ""流动比率"": ""1.43"", ""速动比率"": ""0.86"", ""资产负债率"": ""51.84%""}",2025-07-23,2025-07-27,4.95,5.01,0.012121212121211977,涨2
True,"{""股票代码"": ""002593"", ""股票简称"": ""日上集团"", ""总股本"": 803858029.0, ""流通股"": 560504329.0, ""总市值"": 4131830269.06, ""流通市值"": 2880992251.06, ""行业"": ""专业工程"", ""上市时间"": ""2011-06-28""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""66.20%"", ""营业总收入同比增长率"": ""23.16%"", ""流动比率"": ""1.43"", ""速动比率"": ""0.86"", ""资产负债率"": ""51.84%""}",2025-07-30,2025-08-03,5.01,4.83,-0.0359281437125748,跌4
