数据可用,公司信息,基本面,起始日期,结算日期,起始价,结算价,周收益率,涨跌标签
True,"{""股票代码"": ""603936"", ""股票简称"": ""博敏电子"", ""总股本"": 630398004.0, ""流通股"": 630398004.0, ""总市值"": 13307701864.44, ""流通市值"": 13307701864.44, ""行业"": ""元件"", ""上市时间"": ""2015-12-09""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""4.53%"", ""营业总收入同比增长率"": ""14.38%"", ""流动比率"": ""1.11"", ""速动比率"": ""0.80"", ""资产负债率"": ""53.79%""}",2025-05-28,2025-06-01,7.6,7.83,0.03026315789473699,涨4
True,"{""股票代码"": ""603936"", ""股票简称"": ""博敏电子"", ""总股本"": 630398004.0, ""流通股"": 630398004.0, ""总市值"": 13307701864.44, ""流通市值"": 13307701864.44, ""行业"": ""元件"", ""上市时间"": ""2015-12-09""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""4.53%"", ""营业总收入同比增长率"": ""14.38%"", ""流动比率"": ""1.11"", ""速动比率"": ""0.80"", ""资产负债率"": ""53.79%""}",2025-06-04,2025-06-08,7.83,8.3,0.06002554278416361,涨5+
True,"{""股票代码"": ""603936"", ""股票简称"": ""博敏电子"", ""总股本"": 630398004.0, ""流通股"": 630398004.0, ""总市值"": 13307701864.44, ""流通市值"": 13307701864.44, ""行业"": ""元件"", ""上市时间"": ""2015-12-09""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""4.53%"", ""营业总收入同比增长率"": ""14.38%"", ""流动比率"": ""1.11"", ""速动比率"": ""0.80"", ""资产负债率"": ""53.79%""}",2025-06-11,2025-06-15,8.3,8.17,-0.015662650602409678,跌2
True,"{""股票代码"": ""603936"", ""股票简称"": ""博敏电子"", ""总股本"": 630398004.0, ""流通股"": 630398004.0, ""总市值"": 13307701864.44, ""流通市值"": 13307701864.44, ""行业"": ""元件"", ""上市时间"": ""2015-12-09""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""4.53%"", ""营业总收入同比增长率"": ""14.38%"", ""流动比率"": ""1.11"", ""速动比率"": ""0.80"", ""资产负债率"": ""53.79%""}",2025-06-18,2025-06-22,8.17,8.39,0.02692778457772338,涨3
True,"{""股票代码"": ""603936"", ""股票简称"": ""博敏电子"", ""总股本"": 630398004.0, ""流通股"": 630398004.0, ""总市值"": 13307701864.44, ""流通市值"": 13307701864.44, ""行业"": ""元件"", ""上市时间"": ""2015-12-09""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""4.53%"", ""营业总收入同比增长率"": ""14.38%"", ""流动比率"": ""1.11"", ""速动比率"": ""0.80"", ""资产负债率"": ""53.79%""}",2025-06-25,2025-06-29,8.39,9.02,0.07508939213349208,涨5+
True,"{""股票代码"": ""603936"", ""股票简称"": ""博敏电子"", ""总股本"": 630398004.0, ""流通股"": 630398004.0, ""总市值"": 13307701864.44, ""流通市值"": 13307701864.44, ""行业"": ""元件"", ""上市时间"": ""2015-12-09""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""-63.66%"", ""营业总收入同比增长率"": ""11.19%"", ""流动比率"": ""1.07"", ""速动比率"": ""0.84"", ""资产负债率"": ""54.67%""}",2025-07-02,2025-07-06,9.02,10.01,0.10975609756097571,涨5+
True,"{""股票代码"": ""603936"", ""股票简称"": ""博敏电子"", ""总股本"": 630398004.0, ""流通股"": 630398004.0, ""总市值"": 13307701864.44, ""流通市值"": 13307701864.44, ""行业"": ""元件"", ""上市时间"": ""2015-12-09""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""-63.66%"", ""营业总收入同比增长率"": ""11.19%"", ""流动比率"": ""1.07"", ""速动比率"": ""0.84"", ""资产负债率"": ""54.67%""}",2025-07-09,2025-07-13,10.01,9.95,-0.005994005994006013,跌1
True,"{""股票代码"": ""603936"", ""股票简称"": ""博敏电子"", ""总股本"": 630398004.0, ""流通股"": 630398004.0, ""总市值"": 13307701864.44, ""流通市值"": 13307701864.44, ""行业"": ""元件"", ""上市时间"": ""2015-12-09""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""-63.66%"", ""营业总收入同比增长率"": ""11.19%"", ""流动比率"": ""1.07"", ""速动比率"": ""0.84"", ""资产负债率"": ""54.67%""}",2025-07-16,2025-07-20,9.95,10.04,0.009045226130653283,涨1
True,"{""股票代码"": ""603936"", ""股票简称"": ""博敏电子"", ""总股本"": 630398004.0, ""流通股"": 630398004.0, ""总市值"": 13307701864.44, ""流通市值"": 13307701864.44, ""行业"": ""元件"", ""上市时间"": ""2015-12-09""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""-63.66%"", ""营业总收入同比增长率"": ""11.19%"", ""流动比率"": ""1.07"", ""速动比率"": ""0.84"", ""资产负债率"": ""54.67%""}",2025-07-23,2025-07-27,10.04,10.12,0.007968127490039834,涨1
True,"{""股票代码"": ""603936"", ""股票简称"": ""博敏电子"", ""总股本"": 630398004.0, ""流通股"": 630398004.0, ""总市值"": 13307701864.44, ""流通市值"": 13307701864.44, ""行业"": ""元件"", ""上市时间"": ""2015-12-09""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""-63.66%"", ""营业总收入同比增长率"": ""11.19%"", ""流动比率"": ""1.07"", ""速动比率"": ""0.84"", ""资产负债率"": ""54.67%""}",2025-07-30,2025-08-03,10.12,10.23,0.010869565217391353,涨2
True,"{""股票代码"": ""603936"", ""股票简称"": ""博敏电子"", ""总股本"": 630398004.0, ""流通股"": 630398004.0, ""总市值"": 13307701864.44, ""流通市值"": 13307701864.44, ""行业"": ""元件"", ""上市时间"": ""2015-12-09""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""-63.66%"", ""营业总收入同比增长率"": ""11.19%"", ""流动比率"": ""1.07"", ""速动比率"": ""0.84"", ""资产负债率"": ""54.67%""}",2025-08-06,2025-08-10,10.23,10.14,-0.008797653958944274,跌1
True,"{""股票代码"": ""603936"", ""股票简称"": ""博敏电子"", ""总股本"": 630398004.0, ""流通股"": 630398004.0, ""总市值"": 13307701864.44, ""流通市值"": 13307701864.44, ""行业"": ""元件"", ""上市时间"": ""2015-12-09""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""-63.66%"", ""营业总收入同比增长率"": ""11.19%"", ""流动比率"": ""1.07"", ""速动比率"": ""0.84"", ""资产负债率"": ""54.67%""}",2025-08-13,2025-08-17,10.14,11.18,0.10256410256410242,涨5+
True,"{""股票代码"": ""603936"", ""股票简称"": ""博敏电子"", ""总股本"": 630398004.0, ""流通股"": 630398004.0, ""总市值"": 13307701864.44, ""流通市值"": 13307701864.44, ""行业"": ""元件"", ""上市时间"": ""2015-12-09""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""-63.66%"", ""营业总收入同比增长率"": ""11.19%"", ""流动比率"": ""1.07"", ""速动比率"": ""0.84"", ""资产负债率"": ""54.67%""}",2025-08-20,2025-08-24,11.18,11.29,0.009838998211091132,涨1
True,"{""股票代码"": ""603936"", ""股票简称"": ""博敏电子"", ""总股本"": 630398004.0, ""流通股"": 630398004.0, ""总市值"": 13307701864.44, ""流通市值"": 13307701864.44, ""行业"": ""元件"", ""上市时间"": ""2015-12-09""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""-63.66%"", ""营业总收入同比增长率"": ""11.19%"", ""流动比率"": ""1.07"", ""速动比率"": ""0.84"", ""资产负债率"": ""54.67%""}",2025-08-27,2025-08-31,11.29,11.79,0.04428697962798944,涨5
