数据可用,公司信息,基本面,起始日期,结算日期,起始价,结算价,周收益率,涨跌标签
True,"{""股票代码"": ""688661"", ""股票简称"": ""和林微纳"", ""总股本"": 151887826.0, ""流通股"": 151887826.0, ""总市值"": 18320709572.12, ""流通市值"": 18320709572.12, ""行业"": ""半导体"", ""上市时间"": ""2021-03-29""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""589.99%"", ""营业总收入同比增长率"": ""115.95%"", ""流动比率"": ""5.01"", ""速动比率"": ""4.00"", ""资产负债率"": ""15.04%""}",2025-05-28,2025-06-01,31.69,31.14,-0.01735563269170093,跌2
True,"{""股票代码"": ""688661"", ""股票简称"": ""和林微纳"", ""总股本"": 151887826.0, ""流通股"": 151887826.0, ""总市值"": 18320709572.12, ""流通市值"": 18320709572.12, ""行业"": ""半导体"", ""上市时间"": ""2021-03-29""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""589.99%"", ""营业总收入同比增长率"": ""115.95%"", ""流动比率"": ""5.01"", ""速动比率"": ""4.00"", ""资产负债率"": ""15.04%""}",2025-06-04,2025-06-08,31.14,34.5,0.10789980732177251,涨5+
True,"{""股票代码"": ""688661"", ""股票简称"": ""和林微纳"", ""总股本"": 151887826.0, ""流通股"": 151887826.0, ""总市值"": 18320709572.12, ""流通市值"": 18320709572.12, ""行业"": ""半导体"", ""上市时间"": ""2021-03-29""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""589.99%"", ""营业总收入同比增长率"": ""115.95%"", ""流动比率"": ""5.01"", ""速动比率"": ""4.00"", ""资产负债率"": ""15.04%""}",2025-06-11,2025-06-15,34.5,34.5,0.0,平
True,"{""股票代码"": ""688661"", ""股票简称"": ""和林微纳"", ""总股本"": 151887826.0, ""流通股"": 151887826.0, ""总市值"": 18320709572.12, ""流通市值"": 18320709572.12, ""行业"": ""半导体"", ""上市时间"": ""2021-03-29""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""589.99%"", ""营业总收入同比增长率"": ""115.95%"", ""流动比率"": ""5.01"", ""速动比率"": ""4.00"", ""资产负债率"": ""15.04%""}",2025-06-18,2025-06-22,34.5,36.87,0.06869565217391305,涨5+
True,"{""股票代码"": ""688661"", ""股票简称"": ""和林微纳"", ""总股本"": 151887826.0, ""流通股"": 151887826.0, ""总市值"": 18320709572.12, ""流通市值"": 18320709572.12, ""行业"": ""半导体"", ""上市时间"": ""2021-03-29""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""589.99%"", ""营业总收入同比增长率"": ""115.95%"", ""流动比率"": ""5.01"", ""速动比率"": ""4.00"", ""资产负债率"": ""15.04%""}",2025-06-25,2025-06-29,36.87,39.44,0.0697043666937891,涨5+
True,"{""股票代码"": ""688661"", ""股票简称"": ""和林微纳"", ""总股本"": 151887826.0, ""流通股"": 151887826.0, ""总市值"": 18320709572.12, ""流通市值"": 18320709572.12, ""行业"": ""半导体"", ""上市时间"": ""2021-03-29""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""340.71%"", ""营业总收入同比增长率"": ""73.76%"", ""流动比率"": ""3.90"", ""速动比率"": ""3.12"", ""资产负债率"": ""18.97%""}",2025-07-02,2025-07-06,39.44,38.13,-0.03321501014198769,跌4
True,"{""股票代码"": ""688661"", ""股票简称"": ""和林微纳"", ""总股本"": 151887826.0, ""流通股"": 151887826.0, ""总市值"": 18320709572.12, ""流通市值"": 18320709572.12, ""行业"": ""半导体"", ""上市时间"": ""2021-03-29""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""340.71%"", ""营业总收入同比增长率"": ""73.76%"", ""流动比率"": ""3.90"", ""速动比率"": ""3.12"", ""资产负债率"": ""18.97%""}",2025-07-09,2025-07-13,38.13,38.83,0.018358248098609975,涨2
True,"{""股票代码"": ""688661"", ""股票简称"": ""和林微纳"", ""总股本"": 151887826.0, ""流通股"": 151887826.0, ""总市值"": 18320709572.12, ""流通市值"": 18320709572.12, ""行业"": ""半导体"", ""上市时间"": ""2021-03-29""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""340.71%"", ""营业总收入同比增长率"": ""73.76%"", ""流动比率"": ""3.90"", ""速动比率"": ""3.12"", ""资产负债率"": ""18.97%""}",2025-07-16,2025-07-20,38.83,40.66,0.047128508884882736,涨5
True,"{""股票代码"": ""688661"", ""股票简称"": ""和林微纳"", ""总股本"": 151887826.0, ""流通股"": 151887826.0, ""总市值"": 18320709572.12, ""流通市值"": 18320709572.12, ""行业"": ""半导体"", ""上市时间"": ""2021-03-29""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""340.71%"", ""营业总收入同比增长率"": ""73.76%"", ""流动比率"": ""3.90"", ""速动比率"": ""3.12"", ""资产负债率"": ""18.97%""}",2025-07-23,2025-07-27,40.66,40.25,-0.010083620265617266,跌2
True,"{""股票代码"": ""688661"", ""股票简称"": ""和林微纳"", ""总股本"": 151887826.0, ""流通股"": 151887826.0, ""总市值"": 18320709572.12, ""流通市值"": 18320709572.12, ""行业"": ""半导体"", ""上市时间"": ""2021-03-29""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""340.71%"", ""营业总收入同比增长率"": ""73.76%"", ""流动比率"": ""3.90"", ""速动比率"": ""3.12"", ""资产负债率"": ""18.97%""}",2025-07-30,2025-08-03,40.25,41.81,0.03875776397515529,涨4
