数据可用,公司信息,基本面,起始日期,结算日期,起始价,结算价,周收益率,涨跌标签
True,"{""股票代码"": ""002679"", ""股票简称"": ""福建金森"", ""总股本"": 235756000.0, ""流通股"": 235756000.0, ""总市值"": 2494298480.0, ""流通市值"": 2494298480.0, ""行业"": ""林业Ⅱ"", ""上市时间"": ""2012-06-05""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""-0.99%"", ""营业总收入同比增长率"": ""7.08%"", ""流动比率"": ""8.24"", ""速动比率"": ""1.29"", ""资产负债率"": ""62.27%""}",2025-05-28,2025-06-01,8.76,9.01,0.028538812785388057,涨3
True,"{""股票代码"": ""002679"", ""股票简称"": ""福建金森"", ""总股本"": 235756000.0, ""流通股"": 235756000.0, ""总市值"": 2494298480.0, ""流通市值"": 2494298480.0, ""行业"": ""林业Ⅱ"", ""上市时间"": ""2012-06-05""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""-0.99%"", ""营业总收入同比增长率"": ""7.08%"", ""流动比率"": ""8.24"", ""速动比率"": ""1.29"", ""资产负债率"": ""62.27%""}",2025-06-04,2025-06-08,9.01,9.16,0.01664816870144281,涨2
True,"{""股票代码"": ""002679"", ""股票简称"": ""福建金森"", ""总股本"": 235756000.0, ""流通股"": 235756000.0, ""总市值"": 2494298480.0, ""流通市值"": 2494298480.0, ""行业"": ""林业Ⅱ"", ""上市时间"": ""2012-06-05""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""-0.99%"", ""营业总收入同比增长率"": ""7.08%"", ""流动比率"": ""8.24"", ""速动比率"": ""1.29"", ""资产负债率"": ""62.27%""}",2025-06-11,2025-06-15,9.16,9.4,0.026200873362445476,涨3
True,"{""股票代码"": ""002679"", ""股票简称"": ""福建金森"", ""总股本"": 235756000.0, ""流通股"": 235756000.0, ""总市值"": 2494298480.0, ""流通市值"": 2494298480.0, ""行业"": ""林业Ⅱ"", ""上市时间"": ""2012-06-05""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""-0.99%"", ""营业总收入同比增长率"": ""7.08%"", ""流动比率"": ""8.24"", ""速动比率"": ""1.29"", ""资产负债率"": ""62.27%""}",2025-06-18,2025-06-22,9.4,9.18,-0.023404255319149025,跌3
True,"{""股票代码"": ""002679"", ""股票简称"": ""福建金森"", ""总股本"": 235756000.0, ""流通股"": 235756000.0, ""总市值"": 2494298480.0, ""流通市值"": 2494298480.0, ""行业"": ""林业Ⅱ"", ""上市时间"": ""2012-06-05""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""-0.99%"", ""营业总收入同比增长率"": ""7.08%"", ""流动比率"": ""8.24"", ""速动比率"": ""1.29"", ""资产负债率"": ""62.27%""}",2025-06-25,2025-06-29,9.18,9.48,0.03267973856209161,涨4
True,"{""股票代码"": ""002679"", ""股票简称"": ""福建金森"", ""总股本"": 235756000.0, ""流通股"": 235756000.0, ""总市值"": 2494298480.0, ""流通市值"": 2494298480.0, ""行业"": ""林业Ⅱ"", ""上市时间"": ""2012-06-05""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""109.20%"", ""营业总收入同比增长率"": ""71.33%"", ""流动比率"": ""7.54"", ""速动比率"": ""1.14"", ""资产负债率"": ""62.59%""}",2025-07-02,2025-07-06,9.48,9.49,0.001054852320675037,平
True,"{""股票代码"": ""002679"", ""股票简称"": ""福建金森"", ""总股本"": 235756000.0, ""流通股"": 235756000.0, ""总市值"": 2494298480.0, ""流通市值"": 2494298480.0, ""行业"": ""林业Ⅱ"", ""上市时间"": ""2012-06-05""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""109.20%"", ""营业总收入同比增长率"": ""71.33%"", ""流动比率"": ""7.54"", ""速动比率"": ""1.14"", ""资产负债率"": ""62.59%""}",2025-07-09,2025-07-13,9.49,9.58,0.009483667017913477,涨1
True,"{""股票代码"": ""002679"", ""股票简称"": ""福建金森"", ""总股本"": 235756000.0, ""流通股"": 235756000.0, ""总市值"": 2494298480.0, ""流通市值"": 2494298480.0, ""行业"": ""林业Ⅱ"", ""上市时间"": ""2012-06-05""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""109.20%"", ""营业总收入同比增长率"": ""71.33%"", ""流动比率"": ""7.54"", ""速动比率"": ""1.14"", ""资产负债率"": ""62.59%""}",2025-07-16,2025-07-20,9.58,9.63,0.0052192066805847315,涨1
True,"{""股票代码"": ""002679"", ""股票简称"": ""福建金森"", ""总股本"": 235756000.0, ""流通股"": 235756000.0, ""总市值"": 2494298480.0, ""流通市值"": 2494298480.0, ""行业"": ""林业Ⅱ"", ""上市时间"": ""2012-06-05""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""109.20%"", ""营业总收入同比增长率"": ""71.33%"", ""流动比率"": ""7.54"", ""速动比率"": ""1.14"", ""资产负债率"": ""62.59%""}",2025-07-23,2025-07-27,9.63,10.09,0.04776739356178594,涨5
True,"{""股票代码"": ""002679"", ""股票简称"": ""福建金森"", ""总股本"": 235756000.0, ""流通股"": 235756000.0, ""总市值"": 2494298480.0, ""流通市值"": 2494298480.0, ""行业"": ""林业Ⅱ"", ""上市时间"": ""2012-06-05""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""109.20%"", ""营业总收入同比增长率"": ""71.33%"", ""流动比率"": ""7.54"", ""速动比率"": ""1.14"", ""资产负债率"": ""62.59%""}",2025-07-30,2025-08-03,10.09,9.83,-0.025768087215064406,跌3
