数据可用,公司信息,基本面,起始日期,结算日期,起始价,结算价,周收益率,涨跌标签
True,"{""股票代码"": ""600671"", ""股票简称"": ""天目药业"", ""总股本"": 121778885.0, ""流通股"": 121720533.0, ""总市值"": 2297967559.9500003, ""流通市值"": 2296866457.71, ""行业"": ""中药Ⅱ"", ""上市时间"": ""1993-08-23""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""152.40%"", ""营业总收入同比增长率"": ""88.55%"", ""流动比率"": ""0.80"", ""速动比率"": ""0.56"", ""资产负债率"": ""79.55%""}",2025-05-28,2025-06-01,12.35,12.88,0.04291497975708514,涨5
True,"{""股票代码"": ""600671"", ""股票简称"": ""天目药业"", ""总股本"": 121778885.0, ""流通股"": 121720533.0, ""总市值"": 2297967559.9500003, ""流通市值"": 2296866457.71, ""行业"": ""中药Ⅱ"", ""上市时间"": ""1993-08-23""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""152.40%"", ""营业总收入同比增长率"": ""88.55%"", ""流动比率"": ""0.80"", ""速动比率"": ""0.56"", ""资产负债率"": ""79.55%""}",2025-06-04,2025-06-08,12.88,13.65,0.059782608695652106,涨5+
True,"{""股票代码"": ""600671"", ""股票简称"": ""天目药业"", ""总股本"": 121778885.0, ""流通股"": 121720533.0, ""总市值"": 2297967559.9500003, ""流通市值"": 2296866457.71, ""行业"": ""中药Ⅱ"", ""上市时间"": ""1993-08-23""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""152.40%"", ""营业总收入同比增长率"": ""88.55%"", ""流动比率"": ""0.80"", ""速动比率"": ""0.56"", ""资产负债率"": ""79.55%""}",2025-06-11,2025-06-15,13.65,13.09,-0.0410256410256411,跌5
True,"{""股票代码"": ""600671"", ""股票简称"": ""天目药业"", ""总股本"": 121778885.0, ""流通股"": 121720533.0, ""总市值"": 2297967559.9500003, ""流通市值"": 2296866457.71, ""行业"": ""中药Ⅱ"", ""上市时间"": ""1993-08-23""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""152.40%"", ""营业总收入同比增长率"": ""88.55%"", ""流动比率"": ""0.80"", ""速动比率"": ""0.56"", ""资产负债率"": ""79.55%""}",2025-06-18,2025-06-22,13.09,12.8,-0.022154316271963292,跌3
True,"{""股票代码"": ""600671"", ""股票简称"": ""天目药业"", ""总股本"": 121778885.0, ""流通股"": 121720533.0, ""总市值"": 2297967559.9500003, ""流通市值"": 2296866457.71, ""行业"": ""中药Ⅱ"", ""上市时间"": ""1993-08-23""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""152.40%"", ""营业总收入同比增长率"": ""88.55%"", ""流动比率"": ""0.80"", ""速动比率"": ""0.56"", ""资产负债率"": ""79.55%""}",2025-06-25,2025-06-29,12.8,13.56,0.059374999999999956,涨5+
True,"{""股票代码"": ""600671"", ""股票简称"": ""天目药业"", ""总股本"": 121778885.0, ""流通股"": 121720533.0, ""总市值"": 2297967559.9500003, ""流通市值"": 2296866457.71, ""行业"": ""中药Ⅱ"", ""上市时间"": ""1993-08-23""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""158.71%"", ""营业总收入同比增长率"": ""61.27%"", ""流动比率"": ""0.79"", ""速动比率"": ""0.57"", ""资产负债率"": ""76.97%""}",2025-07-02,2025-07-06,13.56,13.52,-0.002949852507374673,平
True,"{""股票代码"": ""600671"", ""股票简称"": ""天目药业"", ""总股本"": 121778885.0, ""流通股"": 121720533.0, ""总市值"": 2297967559.9500003, ""流通市值"": 2296866457.71, ""行业"": ""中药Ⅱ"", ""上市时间"": ""1993-08-23""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""158.71%"", ""营业总收入同比增长率"": ""61.27%"", ""流动比率"": ""0.79"", ""速动比率"": ""0.57"", ""资产负债率"": ""76.97%""}",2025-07-09,2025-07-13,13.52,13.5,-0.0014792899408283544,平
True,"{""股票代码"": ""600671"", ""股票简称"": ""天目药业"", ""总股本"": 121778885.0, ""流通股"": 121720533.0, ""总市值"": 2297967559.9500003, ""流通市值"": 2296866457.71, ""行业"": ""中药Ⅱ"", ""上市时间"": ""1993-08-23""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""158.71%"", ""营业总收入同比增长率"": ""61.27%"", ""流动比率"": ""0.79"", ""速动比率"": ""0.57"", ""资产负债率"": ""76.97%""}",2025-07-16,2025-07-20,13.5,14.11,0.04518518518518522,涨5
True,"{""股票代码"": ""600671"", ""股票简称"": ""天目药业"", ""总股本"": 121778885.0, ""流通股"": 121720533.0, ""总市值"": 2297967559.9500003, ""流通市值"": 2296866457.71, ""行业"": ""中药Ⅱ"", ""上市时间"": ""1993-08-23""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""158.71%"", ""营业总收入同比增长率"": ""61.27%"", ""流动比率"": ""0.79"", ""速动比率"": ""0.57"", ""资产负债率"": ""76.97%""}",2025-07-23,2025-07-27,14.11,14.68,0.04039688164422395,涨5
True,"{""股票代码"": ""600671"", ""股票简称"": ""天目药业"", ""总股本"": 121778885.0, ""流通股"": 121720533.0, ""总市值"": 2297967559.9500003, ""流通市值"": 2296866457.71, ""行业"": ""中药Ⅱ"", ""上市时间"": ""1993-08-23""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""158.71%"", ""营业总收入同比增长率"": ""61.27%"", ""流动比率"": ""0.79"", ""速动比率"": ""0.57"", ""资产负债率"": ""76.97%""}",2025-07-30,2025-08-03,14.68,15.36,0.04632152588555849,涨5
