数据可用,公司信息,基本面,起始日期,结算日期,起始价,结算价,周收益率,涨跌标签
True,"{""股票代码"": ""000788"", ""股票简称"": ""北大医药"", ""总股本"": 595987425.0, ""流通股"": 595987425.0, ""总市值"": 3379248699.75, ""流通市值"": 3379248699.75, ""行业"": ""化学制药"", ""上市时间"": ""1997-06-16""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""3.62%"", ""营业总收入同比增长率"": ""1.70%"", ""流动比率"": ""2.70"", ""速动比率"": ""2.42"", ""资产负债率"": ""32.78%""}",2025-05-28,2025-06-01,5.63,5.71,0.014209591474245054,涨2
True,"{""股票代码"": ""000788"", ""股票简称"": ""北大医药"", ""总股本"": 595987425.0, ""流通股"": 595987425.0, ""总市值"": 3379248699.75, ""流通市值"": 3379248699.75, ""行业"": ""化学制药"", ""上市时间"": ""1997-06-16""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""3.62%"", ""营业总收入同比增长率"": ""1.70%"", ""流动比率"": ""2.70"", ""速动比率"": ""2.42"", ""资产负债率"": ""32.78%""}",2025-06-04,2025-06-08,5.71,5.74,0.005253940455341555,涨1
True,"{""股票代码"": ""000788"", ""股票简称"": ""北大医药"", ""总股本"": 595987425.0, ""流通股"": 595987425.0, ""总市值"": 3379248699.75, ""流通市值"": 3379248699.75, ""行业"": ""化学制药"", ""上市时间"": ""1997-06-16""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""3.62%"", ""营业总收入同比增长率"": ""1.70%"", ""流动比率"": ""2.70"", ""速动比率"": ""2.42"", ""资产负债率"": ""32.78%""}",2025-06-11,2025-06-15,5.74,5.75,0.0017421602787455193,平
True,"{""股票代码"": ""000788"", ""股票简称"": ""北大医药"", ""总股本"": 595987425.0, ""流通股"": 595987425.0, ""总市值"": 3379248699.75, ""流通市值"": 3379248699.75, ""行业"": ""化学制药"", ""上市时间"": ""1997-06-16""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""3.62%"", ""营业总收入同比增长率"": ""1.70%"", ""流动比率"": ""2.70"", ""速动比率"": ""2.42"", ""资产负债率"": ""32.78%""}",2025-06-18,2025-06-22,5.75,5.75,0.0,平
True,"{""股票代码"": ""000788"", ""股票简称"": ""北大医药"", ""总股本"": 595987425.0, ""流通股"": 595987425.0, ""总市值"": 3379248699.75, ""流通市值"": 3379248699.75, ""行业"": ""化学制药"", ""上市时间"": ""1997-06-16""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""3.62%"", ""营业总收入同比增长率"": ""1.70%"", ""流动比率"": ""2.70"", ""速动比率"": ""2.42"", ""资产负债率"": ""32.78%""}",2025-06-25,2025-06-29,5.75,5.96,0.03652173913043488,涨4
True,"{""股票代码"": ""000788"", ""股票简称"": ""北大医药"", ""总股本"": 595987425.0, ""流通股"": 595987425.0, ""总市值"": 3379248699.75, ""流通市值"": 3379248699.75, ""行业"": ""化学制药"", ""上市时间"": ""1997-06-16""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""27.76%"", ""营业总收入同比增长率"": ""-11.52%"", ""流动比率"": ""2.83"", ""速动比率"": ""2.58"", ""资产负债率"": ""31.21%""}",2025-07-02,2025-07-06,5.96,6.28,0.05369127516778538,涨5+
True,"{""股票代码"": ""000788"", ""股票简称"": ""北大医药"", ""总股本"": 595987425.0, ""流通股"": 595987425.0, ""总市值"": 3379248699.75, ""流通市值"": 3379248699.75, ""行业"": ""化学制药"", ""上市时间"": ""1997-06-16""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""27.76%"", ""营业总收入同比增长率"": ""-11.52%"", ""流动比率"": ""2.83"", ""速动比率"": ""2.58"", ""资产负债率"": ""31.21%""}",2025-07-09,2025-07-13,6.28,6.29,0.0015923566878981443,平
True,"{""股票代码"": ""000788"", ""股票简称"": ""北大医药"", ""总股本"": 595987425.0, ""流通股"": 595987425.0, ""总市值"": 3379248699.75, ""流通市值"": 3379248699.75, ""行业"": ""化学制药"", ""上市时间"": ""1997-06-16""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""27.76%"", ""营业总收入同比增长率"": ""-11.52%"", ""流动比率"": ""2.83"", ""速动比率"": ""2.58"", ""资产负债率"": ""31.21%""}",2025-07-16,2025-07-20,6.29,6.45,0.025437201907790197,涨3
True,"{""股票代码"": ""000788"", ""股票简称"": ""北大医药"", ""总股本"": 595987425.0, ""流通股"": 595987425.0, ""总市值"": 3379248699.75, ""流通市值"": 3379248699.75, ""行业"": ""化学制药"", ""上市时间"": ""1997-06-16""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""27.76%"", ""营业总收入同比增长率"": ""-11.52%"", ""流动比率"": ""2.83"", ""速动比率"": ""2.58"", ""资产负债率"": ""31.21%""}",2025-07-23,2025-07-27,6.45,6.57,0.018604651162790642,涨2
True,"{""股票代码"": ""000788"", ""股票简称"": ""北大医药"", ""总股本"": 595987425.0, ""流通股"": 595987425.0, ""总市值"": 3379248699.75, ""流通市值"": 3379248699.75, ""行业"": ""化学制药"", ""上市时间"": ""1997-06-16""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""27.76%"", ""营业总收入同比增长率"": ""-11.52%"", ""流动比率"": ""2.83"", ""速动比率"": ""2.58"", ""资产负债率"": ""31.21%""}",2025-07-30,2025-08-03,6.57,6.85,0.0426179604261796,涨5
