数据可用,公司信息,基本面,起始日期,结算日期,起始价,结算价,周收益率,涨跌标签
True,"{""股票代码"": ""001213"", ""股票简称"": ""中铁特货"", ""总股本"": 4444444444.0, ""流通股"": 4444444444.0, ""总市值"": 17511111109.36, ""流通市值"": 17511111109.36, ""行业"": ""铁路公路"", ""上市时间"": ""2021-09-08""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""-35.38%"", ""营业总收入同比增长率"": ""3.02%"", ""流动比率"": ""5.81"", ""速动比率"": ""5.45"", ""资产负债率"": ""8.12%""}",2025-05-28,2025-06-01,3.96,4.04,0.02020202020202011,涨3
True,"{""股票代码"": ""001213"", ""股票简称"": ""中铁特货"", ""总股本"": 4444444444.0, ""流通股"": 4444444444.0, ""总市值"": 17511111109.36, ""流通市值"": 17511111109.36, ""行业"": ""铁路公路"", ""上市时间"": ""2021-09-08""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""-35.38%"", ""营业总收入同比增长率"": ""3.02%"", ""流动比率"": ""5.81"", ""速动比率"": ""5.45"", ""资产负债率"": ""8.12%""}",2025-06-04,2025-06-08,4.04,4.03,-0.0024752475247524774,平
True,"{""股票代码"": ""001213"", ""股票简称"": ""中铁特货"", ""总股本"": 4444444444.0, ""流通股"": 4444444444.0, ""总市值"": 17511111109.36, ""流通市值"": 17511111109.36, ""行业"": ""铁路公路"", ""上市时间"": ""2021-09-08""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""-35.38%"", ""营业总收入同比增长率"": ""3.02%"", ""流动比率"": ""5.81"", ""速动比率"": ""5.45"", ""资产负债率"": ""8.12%""}",2025-06-11,2025-06-15,4.03,3.98,-0.012406947890818976,跌2
True,"{""股票代码"": ""001213"", ""股票简称"": ""中铁特货"", ""总股本"": 4444444444.0, ""流通股"": 4444444444.0, ""总市值"": 17511111109.36, ""流通市值"": 17511111109.36, ""行业"": ""铁路公路"", ""上市时间"": ""2021-09-08""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""-35.38%"", ""营业总收入同比增长率"": ""3.02%"", ""流动比率"": ""5.81"", ""速动比率"": ""5.45"", ""资产负债率"": ""8.12%""}",2025-06-18,2025-06-22,3.98,3.95,-0.007537688442211032,跌1
True,"{""股票代码"": ""001213"", ""股票简称"": ""中铁特货"", ""总股本"": 4444444444.0, ""流通股"": 4444444444.0, ""总市值"": 17511111109.36, ""流通市值"": 17511111109.36, ""行业"": ""铁路公路"", ""上市时间"": ""2021-09-08""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""-35.38%"", ""营业总收入同比增长率"": ""3.02%"", ""流动比率"": ""5.81"", ""速动比率"": ""5.45"", ""资产负债率"": ""8.12%""}",2025-06-25,2025-06-29,3.95,4.04,0.022784810126582178,涨3
True,"{""股票代码"": ""001213"", ""股票简称"": ""中铁特货"", ""总股本"": 4444444444.0, ""流通股"": 4444444444.0, ""总市值"": 17511111109.36, ""流通市值"": 17511111109.36, ""行业"": ""铁路公路"", ""上市时间"": ""2021-09-08""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""-10.78%"", ""营业总收入同比增长率"": ""9.31%"", ""流动比率"": ""6.05"", ""速动比率"": ""5.63"", ""资产负债率"": ""7.87%""}",2025-07-02,2025-07-06,4.04,4.06,0.004950495049504955,平
True,"{""股票代码"": ""001213"", ""股票简称"": ""中铁特货"", ""总股本"": 4444444444.0, ""流通股"": 4444444444.0, ""总市值"": 17511111109.36, ""流通市值"": 17511111109.36, ""行业"": ""铁路公路"", ""上市时间"": ""2021-09-08""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""-10.78%"", ""营业总收入同比增长率"": ""9.31%"", ""流动比率"": ""6.05"", ""速动比率"": ""5.63"", ""资产负债率"": ""7.87%""}",2025-07-09,2025-07-13,4.06,4.15,0.022167487684729315,涨3
True,"{""股票代码"": ""001213"", ""股票简称"": ""中铁特货"", ""总股本"": 4444444444.0, ""流通股"": 4444444444.0, ""总市值"": 17511111109.36, ""流通市值"": 17511111109.36, ""行业"": ""铁路公路"", ""上市时间"": ""2021-09-08""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""-10.78%"", ""营业总收入同比增长率"": ""9.31%"", ""流动比率"": ""6.05"", ""速动比率"": ""5.63"", ""资产负债率"": ""7.87%""}",2025-07-16,2025-07-20,4.15,4.12,-0.0072289156626507145,跌1
True,"{""股票代码"": ""001213"", ""股票简称"": ""中铁特货"", ""总股本"": 4444444444.0, ""流通股"": 4444444444.0, ""总市值"": 17511111109.36, ""流通市值"": 17511111109.36, ""行业"": ""铁路公路"", ""上市时间"": ""2021-09-08""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""-10.78%"", ""营业总收入同比增长率"": ""9.31%"", ""流动比率"": ""6.05"", ""速动比率"": ""5.63"", ""资产负债率"": ""7.87%""}",2025-07-23,2025-07-27,4.12,4.49,0.08980582524271852,涨5+
True,"{""股票代码"": ""001213"", ""股票简称"": ""中铁特货"", ""总股本"": 4444444444.0, ""流通股"": 4444444444.0, ""总市值"": 17511111109.36, ""流通市值"": 17511111109.36, ""行业"": ""铁路公路"", ""上市时间"": ""2021-09-08""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""-10.78%"", ""营业总收入同比增长率"": ""9.31%"", ""流动比率"": ""6.05"", ""速动比率"": ""5.63"", ""资产负债率"": ""7.87%""}",2025-07-30,2025-08-03,4.49,4.24,-0.055679287305122505,跌5+
