数据可用,公司信息,基本面,起始日期,结算日期,起始价,结算价,周收益率,涨跌标签
True,"{""股票代码"": ""600886"", ""股票简称"": ""国投电力"", ""总股本"": 8004494262.0, ""流通股"": 7454179797.0, ""总市值"": 106940043340.31999, ""流通市值"": 99587842087.92, ""行业"": ""电力"", ""上市时间"": ""1996-01-18""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""2.10%"", ""营业总收入同比增长率"": ""-6.99%"", ""流动比率"": ""0.79"", ""速动比率"": ""0.75"", ""资产负债率"": ""61.26%""}",2025-05-28,2025-06-01,15.4,15.2,-0.012987012987013102,跌2
True,"{""股票代码"": ""600886"", ""股票简称"": ""国投电力"", ""总股本"": 8004494262.0, ""流通股"": 7454179797.0, ""总市值"": 106940043340.31999, ""流通市值"": 99587842087.92, ""行业"": ""电力"", ""上市时间"": ""1996-01-18""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""2.10%"", ""营业总收入同比增长率"": ""-6.99%"", ""流动比率"": ""0.79"", ""速动比率"": ""0.75"", ""资产负债率"": ""61.26%""}",2025-06-04,2025-06-08,15.2,14.67,-0.03486842105263155,跌4
True,"{""股票代码"": ""600886"", ""股票简称"": ""国投电力"", ""总股本"": 8004494262.0, ""流通股"": 7454179797.0, ""总市值"": 106940043340.31999, ""流通市值"": 99587842087.92, ""行业"": ""电力"", ""上市时间"": ""1996-01-18""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""2.10%"", ""营业总收入同比增长率"": ""-6.99%"", ""流动比率"": ""0.79"", ""速动比率"": ""0.75"", ""资产负债率"": ""61.26%""}",2025-06-11,2025-06-15,14.67,14.65,-0.0013633265167006803,平
True,"{""股票代码"": ""600886"", ""股票简称"": ""国投电力"", ""总股本"": 8004494262.0, ""流通股"": 7454179797.0, ""总市值"": 106940043340.31999, ""流通市值"": 99587842087.92, ""行业"": ""电力"", ""上市时间"": ""1996-01-18""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""2.10%"", ""营业总收入同比增长率"": ""-6.99%"", ""流动比率"": ""0.79"", ""速动比率"": ""0.75"", ""资产负债率"": ""61.26%""}",2025-06-18,2025-06-22,14.65,14.35,-0.020477815699658786,跌3
True,"{""股票代码"": ""600886"", ""股票简称"": ""国投电力"", ""总股本"": 8004494262.0, ""流通股"": 7454179797.0, ""总市值"": 106940043340.31999, ""流通市值"": 99587842087.92, ""行业"": ""电力"", ""上市时间"": ""1996-01-18""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""2.10%"", ""营业总收入同比增长率"": ""-6.99%"", ""流动比率"": ""0.79"", ""速动比率"": ""0.75"", ""资产负债率"": ""61.26%""}",2025-06-25,2025-06-29,14.35,14.24,-0.0076655052264807955,跌1
True,"{""股票代码"": ""600886"", ""股票简称"": ""国投电力"", ""总股本"": 8004494262.0, ""流通股"": 7454179797.0, ""总市值"": 106940043340.31999, ""流通市值"": 99587842087.92, ""行业"": ""电力"", ""上市时间"": ""1996-01-18""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""0.48%"", ""营业总收入同比增长率"": ""-3.22%"", ""流动比率"": ""0.73"", ""速动比率"": ""0.69"", ""资产负债率"": ""63.08%""}",2025-07-02,2025-07-06,14.24,14.54,0.02106741573033699,涨3
True,"{""股票代码"": ""600886"", ""股票简称"": ""国投电力"", ""总股本"": 8004494262.0, ""流通股"": 7454179797.0, ""总市值"": 106940043340.31999, ""流通市值"": 99587842087.92, ""行业"": ""电力"", ""上市时间"": ""1996-01-18""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""0.48%"", ""营业总收入同比增长率"": ""-3.22%"", ""流动比率"": ""0.73"", ""速动比率"": ""0.69"", ""资产负债率"": ""63.08%""}",2025-07-09,2025-07-13,14.54,14.25,-0.019944979367262694,跌2
True,"{""股票代码"": ""600886"", ""股票简称"": ""国投电力"", ""总股本"": 8004494262.0, ""流通股"": 7454179797.0, ""总市值"": 106940043340.31999, ""流通市值"": 99587842087.92, ""行业"": ""电力"", ""上市时间"": ""1996-01-18""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""0.48%"", ""营业总收入同比增长率"": ""-3.22%"", ""流动比率"": ""0.73"", ""速动比率"": ""0.69"", ""资产负债率"": ""63.08%""}",2025-07-16,2025-07-20,14.25,14.37,0.008421052631578885,涨1
True,"{""股票代码"": ""600886"", ""股票简称"": ""国投电力"", ""总股本"": 8004494262.0, ""流通股"": 7454179797.0, ""总市值"": 106940043340.31999, ""流通市值"": 99587842087.92, ""行业"": ""电力"", ""上市时间"": ""1996-01-18""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""0.48%"", ""营业总收入同比增长率"": ""-3.22%"", ""流动比率"": ""0.73"", ""速动比率"": ""0.69"", ""资产负债率"": ""63.08%""}",2025-07-23,2025-07-27,14.37,14.96,0.04105775922059851,涨5
True,"{""股票代码"": ""600886"", ""股票简称"": ""国投电力"", ""总股本"": 8004494262.0, ""流通股"": 7454179797.0, ""总市值"": 106940043340.31999, ""流通市值"": 99587842087.92, ""行业"": ""电力"", ""上市时间"": ""1996-01-18""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""0.48%"", ""营业总收入同比增长率"": ""-3.22%"", ""流动比率"": ""0.73"", ""速动比率"": ""0.69"", ""资产负债率"": ""63.08%""}",2025-07-30,2025-08-03,14.96,15.13,0.011363636363636465,涨2
True,"{""股票代码"": ""600886"", ""股票简称"": ""国投电力"", ""总股本"": 8004494262.0, ""流通股"": 7454179797.0, ""总市值"": 106940043340.31999, ""流通市值"": 99587842087.92, ""行业"": ""电力"", ""上市时间"": ""1996-01-18""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""0.48%"", ""营业总收入同比增长率"": ""-3.22%"", ""流动比率"": ""0.73"", ""速动比率"": ""0.69"", ""资产负债率"": ""63.08%""}",2025-08-06,2025-08-10,15.13,15.14,0.0006609385327165374,平
True,"{""股票代码"": ""600886"", ""股票简称"": ""国投电力"", ""总股本"": 8004494262.0, ""流通股"": 7454179797.0, ""总市值"": 106940043340.31999, ""流通市值"": 99587842087.92, ""行业"": ""电力"", ""上市时间"": ""1996-01-18""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""0.48%"", ""营业总收入同比增长率"": ""-3.22%"", ""流动比率"": ""0.73"", ""速动比率"": ""0.69"", ""资产负债率"": ""63.08%""}",2025-08-13,2025-08-17,15.14,14.7,-0.029062087186261687,跌3
True,"{""股票代码"": ""600886"", ""股票简称"": ""国投电力"", ""总股本"": 8004494262.0, ""流通股"": 7454179797.0, ""总市值"": 106940043340.31999, ""流通市值"": 99587842087.92, ""行业"": ""电力"", ""上市时间"": ""1996-01-18""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""0.48%"", ""营业总收入同比增长率"": ""-3.22%"", ""流动比率"": ""0.73"", ""速动比率"": ""0.69"", ""资产负债率"": ""63.08%""}",2025-08-20,2025-08-24,14.7,14.74,0.0027210884353741083,平
True,"{""股票代码"": ""600886"", ""股票简称"": ""国投电力"", ""总股本"": 8004494262.0, ""流通股"": 7454179797.0, ""总市值"": 106940043340.31999, ""流通市值"": 99587842087.92, ""行业"": ""电力"", ""上市时间"": ""1996-01-18""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""0.48%"", ""营业总收入同比增长率"": ""-3.22%"", ""流动比率"": ""0.73"", ""速动比率"": ""0.69"", ""资产负债率"": ""63.08%""}",2025-08-27,2025-08-31,14.74,14.33,-0.027815468113975617,跌3
True,"{""股票代码"": ""600886"", ""股票简称"": ""国投电力"", ""总股本"": 8004494262.0, ""流通股"": 7454179797.0, ""总市值"": 106940043340.31999, ""流通市值"": 99587842087.92, ""行业"": ""电力"", ""上市时间"": ""1996-01-18""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""0.48%"", ""营业总收入同比增长率"": ""-3.22%"", ""流动比率"": ""0.73"", ""速动比率"": ""0.69"", ""资产负债率"": ""63.08%""}",2025-09-03,2025-09-07,14.33,14.21,-0.008374040474528943,跌1
