数据可用,公司信息,基本面,起始日期,结算日期,起始价,结算价,周收益率,涨跌标签
True,"{""股票代码"": ""605566"", ""股票简称"": ""福莱蒽特"", ""总股本"": 133340000.0, ""流通股"": 133340000.0, ""总市值"": 4761571400.0, ""流通市值"": 4761571400.0, ""行业"": ""化学制品"", ""上市时间"": ""2021-10-25""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""-9.13%"", ""营业总收入同比增长率"": ""-17.57%"", ""流动比率"": ""3.83"", ""速动比率"": ""3.21"", ""资产负债率"": ""21.25%""}",2025-05-28,2025-06-01,19.28,19.55,0.014004149377593311,涨2
True,"{""股票代码"": ""605566"", ""股票简称"": ""福莱蒽特"", ""总股本"": 133340000.0, ""流通股"": 133340000.0, ""总市值"": 4761571400.0, ""流通市值"": 4761571400.0, ""行业"": ""化学制品"", ""上市时间"": ""2021-10-25""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""-9.13%"", ""营业总收入同比增长率"": ""-17.57%"", ""流动比率"": ""3.83"", ""速动比率"": ""3.21"", ""资产负债率"": ""21.25%""}",2025-06-04,2025-06-08,19.55,20.05,0.025575447570332477,涨3
True,"{""股票代码"": ""605566"", ""股票简称"": ""福莱蒽特"", ""总股本"": 133340000.0, ""流通股"": 133340000.0, ""总市值"": 4761571400.0, ""流通市值"": 4761571400.0, ""行业"": ""化学制品"", ""上市时间"": ""2021-10-25""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""-9.13%"", ""营业总收入同比增长率"": ""-17.57%"", ""流动比率"": ""3.83"", ""速动比率"": ""3.21"", ""资产负债率"": ""21.25%""}",2025-06-11,2025-06-15,20.05,20.36,0.015461346633416362,涨2
True,"{""股票代码"": ""605566"", ""股票简称"": ""福莱蒽特"", ""总股本"": 133340000.0, ""流通股"": 133340000.0, ""总市值"": 4761571400.0, ""流通市值"": 4761571400.0, ""行业"": ""化学制品"", ""上市时间"": ""2021-10-25""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""-9.13%"", ""营业总收入同比增长率"": ""-17.57%"", ""流动比率"": ""3.83"", ""速动比率"": ""3.21"", ""资产负债率"": ""21.25%""}",2025-06-18,2025-06-22,20.36,19.87,-0.024066797642436022,跌3
True,"{""股票代码"": ""605566"", ""股票简称"": ""福莱蒽特"", ""总股本"": 133340000.0, ""流通股"": 133340000.0, ""总市值"": 4761571400.0, ""流通市值"": 4761571400.0, ""行业"": ""化学制品"", ""上市时间"": ""2021-10-25""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""-9.13%"", ""营业总收入同比增长率"": ""-17.57%"", ""流动比率"": ""3.83"", ""速动比率"": ""3.21"", ""资产负债率"": ""21.25%""}",2025-06-25,2025-06-29,19.87,20.4,0.02667337695017613,涨3
True,"{""股票代码"": ""605566"", ""股票简称"": ""福莱蒽特"", ""总股本"": 133340000.0, ""流通股"": 133340000.0, ""总市值"": 4761571400.0, ""流通市值"": 4761571400.0, ""行业"": ""化学制品"", ""上市时间"": ""2021-10-25""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""68.16%"", ""营业总收入同比增长率"": ""-29.51%"", ""流动比率"": ""3.88"", ""速动比率"": ""3.23"", ""资产负债率"": ""20.91%""}",2025-07-02,2025-07-06,20.4,20.37,-0.0014705882352940014,平
True,"{""股票代码"": ""605566"", ""股票简称"": ""福莱蒽特"", ""总股本"": 133340000.0, ""流通股"": 133340000.0, ""总市值"": 4761571400.0, ""流通市值"": 4761571400.0, ""行业"": ""化学制品"", ""上市时间"": ""2021-10-25""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""68.16%"", ""营业总收入同比增长率"": ""-29.51%"", ""流动比率"": ""3.88"", ""速动比率"": ""3.23"", ""资产负债率"": ""20.91%""}",2025-07-09,2025-07-13,20.37,20.02,-0.01718213058419249,跌2
True,"{""股票代码"": ""605566"", ""股票简称"": ""福莱蒽特"", ""总股本"": 133340000.0, ""流通股"": 133340000.0, ""总市值"": 4761571400.0, ""流通市值"": 4761571400.0, ""行业"": ""化学制品"", ""上市时间"": ""2021-10-25""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""68.16%"", ""营业总收入同比增长率"": ""-29.51%"", ""流动比率"": ""3.88"", ""速动比率"": ""3.23"", ""资产负债率"": ""20.91%""}",2025-07-16,2025-07-20,20.02,20.43,0.020479520479520508,涨3
True,"{""股票代码"": ""605566"", ""股票简称"": ""福莱蒽特"", ""总股本"": 133340000.0, ""流通股"": 133340000.0, ""总市值"": 4761571400.0, ""流通市值"": 4761571400.0, ""行业"": ""化学制品"", ""上市时间"": ""2021-10-25""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""68.16%"", ""营业总收入同比增长率"": ""-29.51%"", ""流动比率"": ""3.88"", ""速动比率"": ""3.23"", ""资产负债率"": ""20.91%""}",2025-07-23,2025-07-27,20.43,22.31,0.09202153695545756,涨5+
True,"{""股票代码"": ""605566"", ""股票简称"": ""福莱蒽特"", ""总股本"": 133340000.0, ""流通股"": 133340000.0, ""总市值"": 4761571400.0, ""流通市值"": 4761571400.0, ""行业"": ""化学制品"", ""上市时间"": ""2021-10-25""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""68.16%"", ""营业总收入同比增长率"": ""-29.51%"", ""流动比率"": ""3.88"", ""速动比率"": ""3.23"", ""资产负债率"": ""20.91%""}",2025-07-30,2025-08-03,22.31,23.67,0.06095921111609148,涨5+
