数据可用,公司信息,基本面,起始日期,结算日期,起始价,结算价,周收益率,涨跌标签
True,"{""股票代码"": ""601595"", ""股票简称"": ""上海电影"", ""总股本"": 448200000.0, ""流通股"": 448200000.0, ""总市值"": 10053126000.0, ""流通市值"": 10053126000.0, ""行业"": ""影视院线"", ""上市时间"": ""2016-08-17""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""41.55%"", ""营业总收入同比增长率"": ""17.90%"", ""流动比率"": ""2.08"", ""速动比率"": ""1.79"", ""资产负债率"": ""29.48%""}",2025-05-28,2025-06-01,30.06,29.73,-0.010978043912175606,跌2
True,"{""股票代码"": ""601595"", ""股票简称"": ""上海电影"", ""总股本"": 448200000.0, ""流通股"": 448200000.0, ""总市值"": 10053126000.0, ""流通市值"": 10053126000.0, ""行业"": ""影视院线"", ""上市时间"": ""2016-08-17""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""41.55%"", ""营业总收入同比增长率"": ""17.90%"", ""流动比率"": ""2.08"", ""速动比率"": ""1.79"", ""资产负债率"": ""29.48%""}",2025-06-04,2025-06-08,29.73,31.19,0.04910864446686847,涨5
True,"{""股票代码"": ""601595"", ""股票简称"": ""上海电影"", ""总股本"": 448200000.0, ""流通股"": 448200000.0, ""总市值"": 10053126000.0, ""流通市值"": 10053126000.0, ""行业"": ""影视院线"", ""上市时间"": ""2016-08-17""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""41.55%"", ""营业总收入同比增长率"": ""17.90%"", ""流动比率"": ""2.08"", ""速动比率"": ""1.79"", ""资产负债率"": ""29.48%""}",2025-06-11,2025-06-15,31.19,30.66,-0.016992625841615983,跌2
True,"{""股票代码"": ""601595"", ""股票简称"": ""上海电影"", ""总股本"": 448200000.0, ""流通股"": 448200000.0, ""总市值"": 10053126000.0, ""流通市值"": 10053126000.0, ""行业"": ""影视院线"", ""上市时间"": ""2016-08-17""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""41.55%"", ""营业总收入同比增长率"": ""17.90%"", ""流动比率"": ""2.08"", ""速动比率"": ""1.79"", ""资产负债率"": ""29.48%""}",2025-06-18,2025-06-22,30.66,28.16,-0.08153946510110899,跌5+
True,"{""股票代码"": ""601595"", ""股票简称"": ""上海电影"", ""总股本"": 448200000.0, ""流通股"": 448200000.0, ""总市值"": 10053126000.0, ""流通市值"": 10053126000.0, ""行业"": ""影视院线"", ""上市时间"": ""2016-08-17""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""41.55%"", ""营业总收入同比增长率"": ""17.90%"", ""流动比率"": ""2.08"", ""速动比率"": ""1.79"", ""资产负债率"": ""29.48%""}",2025-06-25,2025-06-29,28.16,28.83,0.023792613636363535,涨3
True,"{""股票代码"": ""601595"", ""股票简称"": ""上海电影"", ""总股本"": 448200000.0, ""流通股"": 448200000.0, ""总市值"": 10053126000.0, ""流通市值"": 10053126000.0, ""行业"": ""影视院线"", ""上市时间"": ""2016-08-17""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""-150.13%"", ""营业总收入同比增长率"": ""-33.04%"", ""流动比率"": ""2.08"", ""速动比率"": ""1.66"", ""资产负债率"": ""30.84%""}",2025-07-02,2025-07-06,28.83,27.24,-0.055150884495317354,跌5+
True,"{""股票代码"": ""601595"", ""股票简称"": ""上海电影"", ""总股本"": 448200000.0, ""流通股"": 448200000.0, ""总市值"": 10053126000.0, ""流通市值"": 10053126000.0, ""行业"": ""影视院线"", ""上市时间"": ""2016-08-17""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""-150.13%"", ""营业总收入同比增长率"": ""-33.04%"", ""流动比率"": ""2.08"", ""速动比率"": ""1.66"", ""资产负债率"": ""30.84%""}",2025-07-09,2025-07-13,27.24,28.21,0.035609397944199817,涨4
True,"{""股票代码"": ""601595"", ""股票简称"": ""上海电影"", ""总股本"": 448200000.0, ""流通股"": 448200000.0, ""总市值"": 10053126000.0, ""流通市值"": 10053126000.0, ""行业"": ""影视院线"", ""上市时间"": ""2016-08-17""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""-150.13%"", ""营业总收入同比增长率"": ""-33.04%"", ""流动比率"": ""2.08"", ""速动比率"": ""1.66"", ""资产负债率"": ""30.84%""}",2025-07-16,2025-07-20,28.21,29.89,0.05955334987593042,涨5+
True,"{""股票代码"": ""601595"", ""股票简称"": ""上海电影"", ""总股本"": 448200000.0, ""流通股"": 448200000.0, ""总市值"": 10053126000.0, ""流通市值"": 10053126000.0, ""行业"": ""影视院线"", ""上市时间"": ""2016-08-17""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""-150.13%"", ""营业总收入同比增长率"": ""-33.04%"", ""流动比率"": ""2.08"", ""速动比率"": ""1.66"", ""资产负债率"": ""30.84%""}",2025-07-23,2025-07-27,29.89,33.02,0.1047172967547676,涨5+
True,"{""股票代码"": ""601595"", ""股票简称"": ""上海电影"", ""总股本"": 448200000.0, ""流通股"": 448200000.0, ""总市值"": 10053126000.0, ""流通市值"": 10053126000.0, ""行业"": ""影视院线"", ""上市时间"": ""2016-08-17""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""-150.13%"", ""营业总收入同比增长率"": ""-33.04%"", ""流动比率"": ""2.08"", ""速动比率"": ""1.66"", ""资产负债率"": ""30.84%""}",2025-07-30,2025-08-03,33.02,39.45,0.1947304663840097,涨5+
True,"{""股票代码"": ""601595"", ""股票简称"": ""上海电影"", ""总股本"": 448200000.0, ""流通股"": 448200000.0, ""总市值"": 10053126000.0, ""流通市值"": 10053126000.0, ""行业"": ""影视院线"", ""上市时间"": ""2016-08-17""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""-150.13%"", ""营业总收入同比增长率"": ""-33.04%"", ""流动比率"": ""2.08"", ""速动比率"": ""1.66"", ""资产负债率"": ""30.84%""}",2025-08-06,2025-08-10,39.45,36.46,-0.07579214195183781,跌5+
True,"{""股票代码"": ""601595"", ""股票简称"": ""上海电影"", ""总股本"": 448200000.0, ""流通股"": 448200000.0, ""总市值"": 10053126000.0, ""流通市值"": 10053126000.0, ""行业"": ""影视院线"", ""上市时间"": ""2016-08-17""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""-150.13%"", ""营业总收入同比增长率"": ""-33.04%"", ""流动比率"": ""2.08"", ""速动比率"": ""1.66"", ""资产负债率"": ""30.84%""}",2025-08-13,2025-08-17,36.46,34.4,-0.056500274273176165,跌5+
True,"{""股票代码"": ""601595"", ""股票简称"": ""上海电影"", ""总股本"": 448200000.0, ""流通股"": 448200000.0, ""总市值"": 10053126000.0, ""流通市值"": 10053126000.0, ""行业"": ""影视院线"", ""上市时间"": ""2016-08-17""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""-150.13%"", ""营业总收入同比增长率"": ""-33.04%"", ""流动比率"": ""2.08"", ""速动比率"": ""1.66"", ""资产负债率"": ""30.84%""}",2025-08-20,2025-08-24,34.4,32.48,-0.05581395348837215,跌5+
True,"{""股票代码"": ""601595"", ""股票简称"": ""上海电影"", ""总股本"": 448200000.0, ""流通股"": 448200000.0, ""总市值"": 10053126000.0, ""流通市值"": 10053126000.0, ""行业"": ""影视院线"", ""上市时间"": ""2016-08-17""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""-150.13%"", ""营业总收入同比增长率"": ""-33.04%"", ""流动比率"": ""2.08"", ""速动比率"": ""1.66"", ""资产负债率"": ""30.84%""}",2025-08-27,2025-08-31,32.48,31.36,-0.03448275862068961,跌4
True,"{""股票代码"": ""601595"", ""股票简称"": ""上海电影"", ""总股本"": 448200000.0, ""流通股"": 448200000.0, ""总市值"": 10053126000.0, ""流通市值"": 10053126000.0, ""行业"": ""影视院线"", ""上市时间"": ""2016-08-17""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""-150.13%"", ""营业总收入同比增长率"": ""-33.04%"", ""流动比率"": ""2.08"", ""速动比率"": ""1.66"", ""资产负债率"": ""30.84%""}",2025-09-03,2025-09-07,31.36,31.08,-0.008928571428571508,跌1
True,"{""股票代码"": ""601595"", ""股票简称"": ""上海电影"", ""总股本"": 448200000.0, ""流通股"": 448200000.0, ""总市值"": 10053126000.0, ""流通市值"": 10053126000.0, ""行业"": ""影视院线"", ""上市时间"": ""2016-08-17""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""-150.13%"", ""营业总收入同比增长率"": ""-33.04%"", ""流动比率"": ""2.08"", ""速动比率"": ""1.66"", ""资产负债率"": ""30.84%""}",2025-09-10,2025-09-14,31.08,31.49,0.013191763191763295,涨2
True,"{""股票代码"": ""601595"", ""股票简称"": ""上海电影"", ""总股本"": 448200000.0, ""流通股"": 448200000.0, ""总市值"": 10053126000.0, ""流通市值"": 10053126000.0, ""行业"": ""影视院线"", ""上市时间"": ""2016-08-17""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""-150.13%"", ""营业总收入同比增长率"": ""-33.04%"", ""流动比率"": ""2.08"", ""速动比率"": ""1.66"", ""资产负债率"": ""30.84%""}",2025-09-17,2025-09-21,31.49,31.02,-0.01492537313432829,跌2
True,"{""股票代码"": ""601595"", ""股票简称"": ""上海电影"", ""总股本"": 448200000.0, ""流通股"": 448200000.0, ""总市值"": 10053126000.0, ""流通市值"": 10053126000.0, ""行业"": ""影视院线"", ""上市时间"": ""2016-08-17""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""-150.13%"", ""营业总收入同比增长率"": ""-33.04%"", ""流动比率"": ""2.08"", ""速动比率"": ""1.66"", ""资产负债率"": ""30.84%""}",2025-09-24,2025-09-28,31.02,29.24,-0.05738233397807868,跌5+
