数据可用,公司信息,基本面,起始日期,结算日期,起始价,结算价,周收益率,涨跌标签
True,"{""股票代码"": ""920086"", ""股票简称"": ""科马材料"", ""总股本"": 83680000.0, ""流通股"": 26744500.0, ""总市值"": 2672739200.0, ""流通市值"": 854219330.0, ""行业"": ""汽车零部件"", ""上市时间"": ""2026-01-16""}","{""报告期"": ""2025-12-31"", ""净利润同比增长率"": ""38.26%"", ""营业总收入同比增长率"": ""18.87%"", ""流动比率"": ""6.58"", ""速动比率"": ""3.94"", ""资产负债率"": ""11.16%""}",2026-01-21,2026-01-25,54.95,38.45,-0.3002729754322111,跌5+
True,"{""股票代码"": ""920086"", ""股票简称"": ""科马材料"", ""总股本"": 83680000.0, ""流通股"": 26744500.0, ""总市值"": 2672739200.0, ""流通市值"": 854219330.0, ""行业"": ""汽车零部件"", ""上市时间"": ""2026-01-16""}","{""报告期"": ""2025-12-31"", ""净利润同比增长率"": ""38.26%"", ""营业总收入同比增长率"": ""18.87%"", ""流动比率"": ""6.58"", ""速动比率"": ""3.94"", ""资产负债率"": ""11.16%""}",2026-01-28,2026-02-01,38.45,35.87,-0.06710013003901183,跌5+
True,"{""股票代码"": ""920086"", ""股票简称"": ""科马材料"", ""总股本"": 83680000.0, ""流通股"": 26744500.0, ""总市值"": 2672739200.0, ""流通市值"": 854219330.0, ""行业"": ""汽车零部件"", ""上市时间"": ""2026-01-16""}","{""报告期"": ""2025-12-31"", ""净利润同比增长率"": ""38.26%"", ""营业总收入同比增长率"": ""18.87%"", ""流动比率"": ""6.58"", ""速动比率"": ""3.94"", ""资产负债率"": ""11.16%""}",2026-02-04,2026-02-08,35.87,35.91,0.001115137998327187,平
True,"{""股票代码"": ""920086"", ""股票简称"": ""科马材料"", ""总股本"": 83680000.0, ""流通股"": 26744500.0, ""总市值"": 2672739200.0, ""流通市值"": 854219330.0, ""行业"": ""汽车零部件"", ""上市时间"": ""2026-01-16""}","{""报告期"": ""2025-12-31"", ""净利润同比增长率"": ""38.26%"", ""营业总收入同比增长率"": ""18.87%"", ""流动比率"": ""6.58"", ""速动比率"": ""3.94"", ""资产负债率"": ""11.16%""}",2026-02-11,2026-02-15,35.91,33.74,-0.06042884990253394,跌5+
True,"{""股票代码"": ""920086"", ""股票简称"": ""科马材料"", ""总股本"": 83680000.0, ""流通股"": 26744500.0, ""总市值"": 2672739200.0, ""流通市值"": 854219330.0, ""行业"": ""汽车零部件"", ""上市时间"": ""2026-01-16""}","{""报告期"": ""2025-12-31"", ""净利润同比增长率"": ""38.26%"", ""营业总收入同比增长率"": ""18.87%"", ""流动比率"": ""6.58"", ""速动比率"": ""3.94"", ""资产负债率"": ""11.16%""}",2026-02-18,2026-02-22,33.74,,,
True,"{""股票代码"": ""920086"", ""股票简称"": ""科马材料"", ""总股本"": 83680000.0, ""流通股"": 26744500.0, ""总市值"": 2672739200.0, ""流通市值"": 854219330.0, ""行业"": ""汽车零部件"", ""上市时间"": ""2026-01-16""}","{""报告期"": ""2025-12-31"", ""净利润同比增长率"": ""38.26%"", ""营业总收入同比增长率"": ""18.87%"", ""流动比率"": ""6.58"", ""速动比率"": ""3.94"", ""资产负债率"": ""11.16%""}",2026-02-25,2026-03-01,,34.32,,
True,"{""股票代码"": ""920086"", ""股票简称"": ""科马材料"", ""总股本"": 83680000.0, ""流通股"": 26744500.0, ""总市值"": 2672739200.0, ""流通市值"": 854219330.0, ""行业"": ""汽车零部件"", ""上市时间"": ""2026-01-16""}","{""报告期"": ""2025-12-31"", ""净利润同比增长率"": ""38.26%"", ""营业总收入同比增长率"": ""18.87%"", ""流动比率"": ""6.58"", ""速动比率"": ""3.94"", ""资产负债率"": ""11.16%""}",2026-03-04,2026-03-08,34.32,31.64,-0.07808857808857805,跌5+
True,"{""股票代码"": ""920086"", ""股票简称"": ""科马材料"", ""总股本"": 83680000.0, ""流通股"": 26744500.0, ""总市值"": 2672739200.0, ""流通市值"": 854219330.0, ""行业"": ""汽车零部件"", ""上市时间"": ""2026-01-16""}","{""报告期"": ""2025-12-31"", ""净利润同比增长率"": ""38.26%"", ""营业总收入同比增长率"": ""18.87%"", ""流动比率"": ""6.58"", ""速动比率"": ""3.94"", ""资产负债率"": ""11.16%""}",2026-03-11,2026-03-15,31.64,33.93,0.07237673830594171,涨5+
True,"{""股票代码"": ""920086"", ""股票简称"": ""科马材料"", ""总股本"": 83680000.0, ""流通股"": 26744500.0, ""总市值"": 2672739200.0, ""流通市值"": 854219330.0, ""行业"": ""汽车零部件"", ""上市时间"": ""2026-01-16""}","{""报告期"": ""2025-12-31"", ""净利润同比增长率"": ""38.26%"", ""营业总收入同比增长率"": ""18.87%"", ""流动比率"": ""6.58"", ""速动比率"": ""3.94"", ""资产负债率"": ""11.16%""}",2026-03-18,2026-03-22,33.93,35.01,0.03183023872679036,涨4
True,"{""股票代码"": ""920086"", ""股票简称"": ""科马材料"", ""总股本"": 83680000.0, ""流通股"": 26744500.0, ""总市值"": 2672739200.0, ""流通市值"": 854219330.0, ""行业"": ""汽车零部件"", ""上市时间"": ""2026-01-16""}","{""报告期"": ""2025-12-31"", ""净利润同比增长率"": ""38.26%"", ""营业总收入同比增长率"": ""18.87%"", ""流动比率"": ""6.58"", ""速动比率"": ""3.94"", ""资产负债率"": ""11.16%""}",2026-03-25,2026-03-29,35.01,31.9,-0.08883176235361323,跌5+
