数据可用,公司信息,基本面,起始日期,结算日期,起始价,结算价,周收益率,涨跌标签
True,"{""股票代码"": ""601990"", ""股票简称"": ""南京证券"", ""总股本"": 4399627795.0, ""流通股"": 3686361034.0, ""总市值"": 31281353622.45, ""流通市值"": 26210026951.74, ""行业"": ""证券Ⅱ"", ""上市时间"": ""2018-06-13""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""5.32%"", ""营业总收入同比增长率"": ""-11.62%"", ""资产负债率"": ""75.90%""}",2025-05-28,2025-06-01,7.57,7.62,0.006605019815059343,涨1
True,"{""股票代码"": ""601990"", ""股票简称"": ""南京证券"", ""总股本"": 4399627795.0, ""流通股"": 3686361034.0, ""总市值"": 31281353622.45, ""流通市值"": 26210026951.74, ""行业"": ""证券Ⅱ"", ""上市时间"": ""2018-06-13""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""5.32%"", ""营业总收入同比增长率"": ""-11.62%"", ""资产负债率"": ""75.90%""}",2025-06-04,2025-06-08,7.62,7.69,0.009186351706036877,涨1
True,"{""股票代码"": ""601990"", ""股票简称"": ""南京证券"", ""总股本"": 4399627795.0, ""流通股"": 3686361034.0, ""总市值"": 31281353622.45, ""流通市值"": 26210026951.74, ""行业"": ""证券Ⅱ"", ""上市时间"": ""2018-06-13""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""5.32%"", ""营业总收入同比增长率"": ""-11.62%"", ""资产负债率"": ""75.90%""}",2025-06-11,2025-06-15,7.69,7.69,0.0,平
True,"{""股票代码"": ""601990"", ""股票简称"": ""南京证券"", ""总股本"": 4399627795.0, ""流通股"": 3686361034.0, ""总市值"": 31281353622.45, ""流通市值"": 26210026951.74, ""行业"": ""证券Ⅱ"", ""上市时间"": ""2018-06-13""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""5.32%"", ""营业总收入同比增长率"": ""-11.62%"", ""资产负债率"": ""75.90%""}",2025-06-18,2025-06-22,7.69,7.63,-0.007802340702210753,跌1
True,"{""股票代码"": ""601990"", ""股票简称"": ""南京证券"", ""总股本"": 4399627795.0, ""流通股"": 3686361034.0, ""总市值"": 31281353622.45, ""流通市值"": 26210026951.74, ""行业"": ""证券Ⅱ"", ""上市时间"": ""2018-06-13""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""5.32%"", ""营业总收入同比增长率"": ""-11.62%"", ""资产负债率"": ""75.90%""}",2025-06-25,2025-06-29,7.63,7.99,0.047182175622542566,涨5
True,"{""股票代码"": ""601990"", ""股票简称"": ""南京证券"", ""总股本"": 4399627795.0, ""流通股"": 3686361034.0, ""总市值"": 31281353622.45, ""流通市值"": 26210026951.74, ""行业"": ""证券Ⅱ"", ""上市时间"": ""2018-06-13""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""21.37%"", ""营业总收入同比增长率"": ""3.14%"", ""资产负债率"": ""75.26%""}",2025-07-02,2025-07-06,7.99,7.9,-0.01126408010012514,跌2
True,"{""股票代码"": ""601990"", ""股票简称"": ""南京证券"", ""总股本"": 4399627795.0, ""流通股"": 3686361034.0, ""总市值"": 31281353622.45, ""流通市值"": 26210026951.74, ""行业"": ""证券Ⅱ"", ""上市时间"": ""2018-06-13""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""21.37%"", ""营业总收入同比增长率"": ""3.14%"", ""资产负债率"": ""75.26%""}",2025-07-09,2025-07-13,7.9,8.26,0.04556962025316458,涨5
True,"{""股票代码"": ""601990"", ""股票简称"": ""南京证券"", ""总股本"": 4399627795.0, ""流通股"": 3686361034.0, ""总市值"": 31281353622.45, ""流通市值"": 26210026951.74, ""行业"": ""证券Ⅱ"", ""上市时间"": ""2018-06-13""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""21.37%"", ""营业总收入同比增长率"": ""3.14%"", ""资产负债率"": ""75.26%""}",2025-07-16,2025-07-20,8.26,8.15,-0.013317191283292895,跌2
True,"{""股票代码"": ""601990"", ""股票简称"": ""南京证券"", ""总股本"": 4399627795.0, ""流通股"": 3686361034.0, ""总市值"": 31281353622.45, ""流通市值"": 26210026951.74, ""行业"": ""证券Ⅱ"", ""上市时间"": ""2018-06-13""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""21.37%"", ""营业总收入同比增长率"": ""3.14%"", ""资产负债率"": ""75.26%""}",2025-07-23,2025-07-27,8.15,8.4,0.030674846625766916,涨4
True,"{""股票代码"": ""601990"", ""股票简称"": ""南京证券"", ""总股本"": 4399627795.0, ""流通股"": 3686361034.0, ""总市值"": 31281353622.45, ""流通市值"": 26210026951.74, ""行业"": ""证券Ⅱ"", ""上市时间"": ""2018-06-13""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""21.37%"", ""营业总收入同比增长率"": ""3.14%"", ""资产负债率"": ""75.26%""}",2025-07-30,2025-08-03,8.4,8.09,-0.036904761904761996,跌4
True,"{""股票代码"": ""601990"", ""股票简称"": ""南京证券"", ""总股本"": 4399627795.0, ""流通股"": 3686361034.0, ""总市值"": 31281353622.45, ""流通市值"": 26210026951.74, ""行业"": ""证券Ⅱ"", ""上市时间"": ""2018-06-13""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""21.37%"", ""营业总收入同比增长率"": ""3.14%"", ""资产负债率"": ""75.26%""}",2025-08-06,2025-08-10,8.09,8.24,0.018541409147095234,涨2
True,"{""股票代码"": ""601990"", ""股票简称"": ""南京证券"", ""总股本"": 4399627795.0, ""流通股"": 3686361034.0, ""总市值"": 31281353622.45, ""流通市值"": 26210026951.74, ""行业"": ""证券Ⅱ"", ""上市时间"": ""2018-06-13""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""21.37%"", ""营业总收入同比增长率"": ""3.14%"", ""资产负债率"": ""75.26%""}",2025-08-13,2025-08-17,8.24,8.62,0.0461165048543688,涨5
True,"{""股票代码"": ""601990"", ""股票简称"": ""南京证券"", ""总股本"": 4399627795.0, ""流通股"": 3686361034.0, ""总市值"": 31281353622.45, ""流通市值"": 26210026951.74, ""行业"": ""证券Ⅱ"", ""上市时间"": ""2018-06-13""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""21.37%"", ""营业总收入同比增长率"": ""3.14%"", ""资产负债率"": ""75.26%""}",2025-08-20,2025-08-24,8.62,8.89,0.03132250580046425,涨4
True,"{""股票代码"": ""601990"", ""股票简称"": ""南京证券"", ""总股本"": 4399627795.0, ""流通股"": 3686361034.0, ""总市值"": 31281353622.45, ""流通市值"": 26210026951.74, ""行业"": ""证券Ⅱ"", ""上市时间"": ""2018-06-13""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""21.37%"", ""营业总收入同比增长率"": ""3.14%"", ""资产负债率"": ""75.26%""}",2025-08-27,2025-08-31,8.89,8.76,-0.014623172103487181,跌2
True,"{""股票代码"": ""601990"", ""股票简称"": ""南京证券"", ""总股本"": 4399627795.0, ""流通股"": 3686361034.0, ""总市值"": 31281353622.45, ""流通市值"": 26210026951.74, ""行业"": ""证券Ⅱ"", ""上市时间"": ""2018-06-13""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""21.37%"", ""营业总收入同比增长率"": ""3.14%"", ""资产负债率"": ""75.26%""}",2025-09-03,2025-09-07,8.76,8.69,-0.007990867579908745,跌1
True,"{""股票代码"": ""601990"", ""股票简称"": ""南京证券"", ""总股本"": 4399627795.0, ""流通股"": 3686361034.0, ""总市值"": 31281353622.45, ""流通市值"": 26210026951.74, ""行业"": ""证券Ⅱ"", ""上市时间"": ""2018-06-13""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""21.37%"", ""营业总收入同比增长率"": ""3.14%"", ""资产负债率"": ""75.26%""}",2025-09-10,2025-09-14,8.69,8.64,-0.00575373993095496,跌1
True,"{""股票代码"": ""601990"", ""股票简称"": ""南京证券"", ""总股本"": 4399627795.0, ""流通股"": 3686361034.0, ""总市值"": 31281353622.45, ""流通市值"": 26210026951.74, ""行业"": ""证券Ⅱ"", ""上市时间"": ""2018-06-13""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""21.37%"", ""营业总收入同比增长率"": ""3.14%"", ""资产负债率"": ""75.26%""}",2025-09-17,2025-09-21,8.64,8.48,-0.01851851851851849,跌2
True,"{""股票代码"": ""601990"", ""股票简称"": ""南京证券"", ""总股本"": 4399627795.0, ""流通股"": 3686361034.0, ""总市值"": 31281353622.45, ""流通市值"": 26210026951.74, ""行业"": ""证券Ⅱ"", ""上市时间"": ""2018-06-13""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""21.37%"", ""营业总收入同比增长率"": ""3.14%"", ""资产负债率"": ""75.26%""}",2025-09-24,2025-09-28,8.48,8.32,-0.018867924528301883,跌2
True,"{""股票代码"": ""601990"", ""股票简称"": ""南京证券"", ""总股本"": 4399627795.0, ""流通股"": 3686361034.0, ""总市值"": 31281353622.45, ""流通市值"": 26210026951.74, ""行业"": ""证券Ⅱ"", ""上市时间"": ""2018-06-13""}","{""报告期"": ""2025-09-30"", ""净利润同比增长率"": ""95.07%"", ""营业总收入同比增长率"": ""107.91%"", ""资产负债率"": ""78.13%""}",2025-10-01,2025-10-05,8.32,8.54,0.026442307692307487,涨3
True,"{""股票代码"": ""601990"", ""股票简称"": ""南京证券"", ""总股本"": 4399627795.0, ""流通股"": 3686361034.0, ""总市值"": 31281353622.45, ""流通市值"": 26210026951.74, ""行业"": ""证券Ⅱ"", ""上市时间"": ""2018-06-13""}","{""报告期"": ""2025-09-30"", ""净利润同比增长率"": ""95.07%"", ""营业总收入同比增长率"": ""107.91%"", ""资产负债率"": ""78.13%""}",2025-10-08,2025-10-12,8.54,8.61,0.00819672131147553,涨1
True,"{""股票代码"": ""601990"", ""股票简称"": ""南京证券"", ""总股本"": 4399627795.0, ""流通股"": 3686361034.0, ""总市值"": 31281353622.45, ""流通市值"": 26210026951.74, ""行业"": ""证券Ⅱ"", ""上市时间"": ""2018-06-13""}","{""报告期"": ""2025-09-30"", ""净利润同比增长率"": ""95.07%"", ""营业总收入同比增长率"": ""107.91%"", ""资产负债率"": ""78.13%""}",2025-10-15,2025-10-19,8.61,8.31,-0.03484320557491272,跌4
True,"{""股票代码"": ""601990"", ""股票简称"": ""南京证券"", ""总股本"": 4399627795.0, ""流通股"": 3686361034.0, ""总市值"": 31281353622.45, ""流通市值"": 26210026951.74, ""行业"": ""证券Ⅱ"", ""上市时间"": ""2018-06-13""}","{""报告期"": ""2025-09-30"", ""净利润同比增长率"": ""95.07%"", ""营业总收入同比增长率"": ""107.91%"", ""资产负债率"": ""78.13%""}",2025-10-22,2025-10-26,8.31,8.47,0.01925391095066198,涨2
True,"{""股票代码"": ""601990"", ""股票简称"": ""南京证券"", ""总股本"": 4399627795.0, ""流通股"": 3686361034.0, ""总市值"": 31281353622.45, ""流通市值"": 26210026951.74, ""行业"": ""证券Ⅱ"", ""上市时间"": ""2018-06-13""}","{""报告期"": ""2025-09-30"", ""净利润同比增长率"": ""95.07%"", ""营业总收入同比增长率"": ""107.91%"", ""资产负债率"": ""78.13%""}",2025-10-29,2025-11-02,8.47,8.47,0.0,平
True,"{""股票代码"": ""601990"", ""股票简称"": ""南京证券"", ""总股本"": 4399627795.0, ""流通股"": 3686361034.0, ""总市值"": 31281353622.45, ""流通市值"": 26210026951.74, ""行业"": ""证券Ⅱ"", ""上市时间"": ""2018-06-13""}","{""报告期"": ""2025-09-30"", ""净利润同比增长率"": ""95.07%"", ""营业总收入同比增长率"": ""107.91%"", ""资产负债率"": ""78.13%""}",2025-11-05,2025-11-09,8.47,8.55,0.009445100354191327,涨1
