数据可用,公司信息,基本面,起始日期,结算日期,起始价,结算价,周收益率,涨跌标签
True,"{""股票代码"": ""300241"", ""股票简称"": ""瑞丰光电"", ""总股本"": 701822804.0, ""流通股"": 587933049.0, ""总市值"": 4891704943.88, ""流通市值"": 4097893351.5299997, ""行业"": ""光学光电子"", ""上市时间"": ""2011-07-12""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""264.49%"", ""营业总收入同比增长率"": ""16.90%"", ""流动比率"": ""1.30"", ""速动比率"": ""0.85"", ""资产负债率"": ""38.03%""}",2025-05-28,2025-06-01,5.05,5.11,0.011881188118811892,涨2
True,"{""股票代码"": ""300241"", ""股票简称"": ""瑞丰光电"", ""总股本"": 701822804.0, ""流通股"": 587933049.0, ""总市值"": 4891704943.88, ""流通市值"": 4097893351.5299997, ""行业"": ""光学光电子"", ""上市时间"": ""2011-07-12""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""264.49%"", ""营业总收入同比增长率"": ""16.90%"", ""流动比率"": ""1.30"", ""速动比率"": ""0.85"", ""资产负债率"": ""38.03%""}",2025-06-04,2025-06-08,5.11,5.3,0.03718199608610551,涨4
True,"{""股票代码"": ""300241"", ""股票简称"": ""瑞丰光电"", ""总股本"": 701822804.0, ""流通股"": 587933049.0, ""总市值"": 4891704943.88, ""流通市值"": 4097893351.5299997, ""行业"": ""光学光电子"", ""上市时间"": ""2011-07-12""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""264.49%"", ""营业总收入同比增长率"": ""16.90%"", ""流动比率"": ""1.30"", ""速动比率"": ""0.85"", ""资产负债率"": ""38.03%""}",2025-06-11,2025-06-15,5.3,5.28,-0.0037735849056602655,平
True,"{""股票代码"": ""300241"", ""股票简称"": ""瑞丰光电"", ""总股本"": 701822804.0, ""流通股"": 587933049.0, ""总市值"": 4891704943.88, ""流通市值"": 4097893351.5299997, ""行业"": ""光学光电子"", ""上市时间"": ""2011-07-12""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""264.49%"", ""营业总收入同比增长率"": ""16.90%"", ""流动比率"": ""1.30"", ""速动比率"": ""0.85"", ""资产负债率"": ""38.03%""}",2025-06-18,2025-06-22,5.28,5.47,0.0359848484848484,涨4
True,"{""股票代码"": ""300241"", ""股票简称"": ""瑞丰光电"", ""总股本"": 701822804.0, ""流通股"": 587933049.0, ""总市值"": 4891704943.88, ""流通市值"": 4097893351.5299997, ""行业"": ""光学光电子"", ""上市时间"": ""2011-07-12""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""264.49%"", ""营业总收入同比增长率"": ""16.90%"", ""流动比率"": ""1.30"", ""速动比率"": ""0.85"", ""资产负债率"": ""38.03%""}",2025-06-25,2025-06-29,5.47,5.64,0.031078610603290757,涨4
True,"{""股票代码"": ""300241"", ""股票简称"": ""瑞丰光电"", ""总股本"": 701822804.0, ""流通股"": 587933049.0, ""总市值"": 4891704943.88, ""流通市值"": 4097893351.5299997, ""行业"": ""光学光电子"", ""上市时间"": ""2011-07-12""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""-78.34%"", ""营业总收入同比增长率"": ""20.94%"", ""流动比率"": ""1.24"", ""速动比率"": ""0.86"", ""资产负债率"": ""40.17%""}",2025-07-02,2025-07-06,5.64,5.63,-0.0017730496453900457,平
True,"{""股票代码"": ""300241"", ""股票简称"": ""瑞丰光电"", ""总股本"": 701822804.0, ""流通股"": 587933049.0, ""总市值"": 4891704943.88, ""流通市值"": 4097893351.5299997, ""行业"": ""光学光电子"", ""上市时间"": ""2011-07-12""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""-78.34%"", ""营业总收入同比增长率"": ""20.94%"", ""流动比率"": ""1.24"", ""速动比率"": ""0.86"", ""资产负债率"": ""40.17%""}",2025-07-09,2025-07-13,5.63,5.71,0.014209591474245054,涨2
True,"{""股票代码"": ""300241"", ""股票简称"": ""瑞丰光电"", ""总股本"": 701822804.0, ""流通股"": 587933049.0, ""总市值"": 4891704943.88, ""流通市值"": 4097893351.5299997, ""行业"": ""光学光电子"", ""上市时间"": ""2011-07-12""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""-78.34%"", ""营业总收入同比增长率"": ""20.94%"", ""流动比率"": ""1.24"", ""速动比率"": ""0.86"", ""资产负债率"": ""40.17%""}",2025-07-16,2025-07-20,5.71,5.76,0.008756567425569184,涨1
True,"{""股票代码"": ""300241"", ""股票简称"": ""瑞丰光电"", ""总股本"": 701822804.0, ""流通股"": 587933049.0, ""总市值"": 4891704943.88, ""流通市值"": 4097893351.5299997, ""行业"": ""光学光电子"", ""上市时间"": ""2011-07-12""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""-78.34%"", ""营业总收入同比增长率"": ""20.94%"", ""流动比率"": ""1.24"", ""速动比率"": ""0.86"", ""资产负债率"": ""40.17%""}",2025-07-23,2025-07-27,5.76,5.84,0.01388888888888884,涨2
True,"{""股票代码"": ""300241"", ""股票简称"": ""瑞丰光电"", ""总股本"": 701822804.0, ""流通股"": 587933049.0, ""总市值"": 4891704943.88, ""流通市值"": 4097893351.5299997, ""行业"": ""光学光电子"", ""上市时间"": ""2011-07-12""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""-78.34%"", ""营业总收入同比增长率"": ""20.94%"", ""流动比率"": ""1.24"", ""速动比率"": ""0.86"", ""资产负债率"": ""40.17%""}",2025-07-30,2025-08-03,5.84,5.82,-0.003424657534246478,平
True,"{""股票代码"": ""300241"", ""股票简称"": ""瑞丰光电"", ""总股本"": 701822804.0, ""流通股"": 587933049.0, ""总市值"": 4891704943.88, ""流通市值"": 4097893351.5299997, ""行业"": ""光学光电子"", ""上市时间"": ""2011-07-12""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""-78.34%"", ""营业总收入同比增长率"": ""20.94%"", ""流动比率"": ""1.24"", ""速动比率"": ""0.86"", ""资产负债率"": ""40.17%""}",2025-08-06,2025-08-10,5.82,6.01,0.03264604810996552,涨4
True,"{""股票代码"": ""300241"", ""股票简称"": ""瑞丰光电"", ""总股本"": 701822804.0, ""流通股"": 587933049.0, ""总市值"": 4891704943.88, ""流通市值"": 4097893351.5299997, ""行业"": ""光学光电子"", ""上市时间"": ""2011-07-12""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""-78.34%"", ""营业总收入同比增长率"": ""20.94%"", ""流动比率"": ""1.24"", ""速动比率"": ""0.86"", ""资产负债率"": ""40.17%""}",2025-08-13,2025-08-17,6.01,5.95,-0.009983361064891727,跌1
True,"{""股票代码"": ""300241"", ""股票简称"": ""瑞丰光电"", ""总股本"": 701822804.0, ""流通股"": 587933049.0, ""总市值"": 4891704943.88, ""流通市值"": 4097893351.5299997, ""行业"": ""光学光电子"", ""上市时间"": ""2011-07-12""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""-78.34%"", ""营业总收入同比增长率"": ""20.94%"", ""流动比率"": ""1.24"", ""速动比率"": ""0.86"", ""资产负债率"": ""40.17%""}",2025-08-20,2025-08-24,5.95,6.63,0.11428571428571432,涨5+
True,"{""股票代码"": ""300241"", ""股票简称"": ""瑞丰光电"", ""总股本"": 701822804.0, ""流通股"": 587933049.0, ""总市值"": 4891704943.88, ""流通市值"": 4097893351.5299997, ""行业"": ""光学光电子"", ""上市时间"": ""2011-07-12""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""-78.34%"", ""营业总收入同比增长率"": ""20.94%"", ""流动比率"": ""1.24"", ""速动比率"": ""0.86"", ""资产负债率"": ""40.17%""}",2025-08-27,2025-08-31,6.63,6.16,-0.07088989441930615,跌5+
True,"{""股票代码"": ""300241"", ""股票简称"": ""瑞丰光电"", ""总股本"": 701822804.0, ""流通股"": 587933049.0, ""总市值"": 4891704943.88, ""流通市值"": 4097893351.5299997, ""行业"": ""光学光电子"", ""上市时间"": ""2011-07-12""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""-78.34%"", ""营业总收入同比增长率"": ""20.94%"", ""流动比率"": ""1.24"", ""速动比率"": ""0.86"", ""资产负债率"": ""40.17%""}",2025-09-03,2025-09-07,6.16,5.79,-0.06006493506493504,跌5+
True,"{""股票代码"": ""300241"", ""股票简称"": ""瑞丰光电"", ""总股本"": 701822804.0, ""流通股"": 587933049.0, ""总市值"": 4891704943.88, ""流通市值"": 4097893351.5299997, ""行业"": ""光学光电子"", ""上市时间"": ""2011-07-12""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""-78.34%"", ""营业总收入同比增长率"": ""20.94%"", ""流动比率"": ""1.24"", ""速动比率"": ""0.86"", ""资产负债率"": ""40.17%""}",2025-09-10,2025-09-14,5.79,5.84,0.008635578583765069,涨1
True,"{""股票代码"": ""300241"", ""股票简称"": ""瑞丰光电"", ""总股本"": 701822804.0, ""流通股"": 587933049.0, ""总市值"": 4891704943.88, ""流通市值"": 4097893351.5299997, ""行业"": ""光学光电子"", ""上市时间"": ""2011-07-12""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""-78.34%"", ""营业总收入同比增长率"": ""20.94%"", ""流动比率"": ""1.24"", ""速动比率"": ""0.86"", ""资产负债率"": ""40.17%""}",2025-09-17,2025-09-21,5.84,5.8,-0.006849315068493178,跌1
True,"{""股票代码"": ""300241"", ""股票简称"": ""瑞丰光电"", ""总股本"": 701822804.0, ""流通股"": 587933049.0, ""总市值"": 4891704943.88, ""流通市值"": 4097893351.5299997, ""行业"": ""光学光电子"", ""上市时间"": ""2011-07-12""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""-78.34%"", ""营业总收入同比增长率"": ""20.94%"", ""流动比率"": ""1.24"", ""速动比率"": ""0.86"", ""资产负债率"": ""40.17%""}",2025-09-24,2025-09-28,5.8,5.72,-0.01379310344827589,跌2
True,"{""股票代码"": ""300241"", ""股票简称"": ""瑞丰光电"", ""总股本"": 701822804.0, ""流通股"": 587933049.0, ""总市值"": 4891704943.88, ""流通市值"": 4097893351.5299997, ""行业"": ""光学光电子"", ""上市时间"": ""2011-07-12""}","{""报告期"": ""2025-09-30"", ""净利润同比增长率"": ""-4.66%"", ""营业总收入同比增长率"": ""19.39%"", ""流动比率"": ""1.29"", ""速动比率"": ""0.88"", ""资产负债率"": ""38.14%""}",2025-10-01,2025-10-05,5.72,5.79,0.012237762237762295,涨2
True,"{""股票代码"": ""300241"", ""股票简称"": ""瑞丰光电"", ""总股本"": 701822804.0, ""流通股"": 587933049.0, ""总市值"": 4891704943.88, ""流通市值"": 4097893351.5299997, ""行业"": ""光学光电子"", ""上市时间"": ""2011-07-12""}","{""报告期"": ""2025-09-30"", ""净利润同比增长率"": ""-4.66%"", ""营业总收入同比增长率"": ""19.39%"", ""流动比率"": ""1.29"", ""速动比率"": ""0.88"", ""资产负债率"": ""38.14%""}",2025-10-08,2025-10-12,5.79,5.77,-0.003454231433506094,平
