数据可用,公司信息,基本面,起始日期,结算日期,起始价,结算价,周收益率,涨跌标签
True,"{""股票代码"": ""600548"", ""股票简称"": ""深高速"", ""总股本"": 2537856127.0, ""流通股"": 1714425983.0, ""总市值"": 22739190897.920002, ""流通市值"": 15361256807.680002, ""行业"": ""铁路公路"", ""上市时间"": ""2001-12-25""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""1.50%"", ""营业总收入同比增长率"": ""-13.06%"", ""流动比率"": ""1.09"", ""速动比率"": ""0.88"", ""资产负债率"": ""55.72%""}",2025-05-28,2025-06-01,11.16,11.07,-0.008064516129032251,跌1
True,"{""股票代码"": ""600548"", ""股票简称"": ""深高速"", ""总股本"": 2537856127.0, ""流通股"": 1714425983.0, ""总市值"": 22739190897.920002, ""流通市值"": 15361256807.680002, ""行业"": ""铁路公路"", ""上市时间"": ""2001-12-25""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""1.50%"", ""营业总收入同比增长率"": ""-13.06%"", ""流动比率"": ""1.09"", ""速动比率"": ""0.88"", ""资产负债率"": ""55.72%""}",2025-06-04,2025-06-08,11.07,10.99,-0.0072267389340560095,跌1
True,"{""股票代码"": ""600548"", ""股票简称"": ""深高速"", ""总股本"": 2537856127.0, ""流通股"": 1714425983.0, ""总市值"": 22739190897.920002, ""流通市值"": 15361256807.680002, ""行业"": ""铁路公路"", ""上市时间"": ""2001-12-25""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""1.50%"", ""营业总收入同比增长率"": ""-13.06%"", ""流动比率"": ""1.09"", ""速动比率"": ""0.88"", ""资产负债率"": ""55.72%""}",2025-06-11,2025-06-15,10.99,10.41,-0.05277525022747953,跌5+
True,"{""股票代码"": ""600548"", ""股票简称"": ""深高速"", ""总股本"": 2537856127.0, ""流通股"": 1714425983.0, ""总市值"": 22739190897.920002, ""流通市值"": 15361256807.680002, ""行业"": ""铁路公路"", ""上市时间"": ""2001-12-25""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""1.50%"", ""营业总收入同比增长率"": ""-13.06%"", ""流动比率"": ""1.09"", ""速动比率"": ""0.88"", ""资产负债率"": ""55.72%""}",2025-06-18,2025-06-22,10.41,10.27,-0.01344860710854956,跌2
True,"{""股票代码"": ""600548"", ""股票简称"": ""深高速"", ""总股本"": 2537856127.0, ""流通股"": 1714425983.0, ""总市值"": 22739190897.920002, ""流通市值"": 15361256807.680002, ""行业"": ""铁路公路"", ""上市时间"": ""2001-12-25""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""1.50%"", ""营业总收入同比增长率"": ""-13.06%"", ""流动比率"": ""1.09"", ""速动比率"": ""0.88"", ""资产负债率"": ""55.72%""}",2025-06-25,2025-06-29,10.27,10.27,0.0,平
True,"{""股票代码"": ""600548"", ""股票简称"": ""深高速"", ""总股本"": 2537856127.0, ""流通股"": 1714425983.0, ""总市值"": 22739190897.920002, ""流通市值"": 15361256807.680002, ""行业"": ""铁路公路"", ""上市时间"": ""2001-12-25""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""59.09%"", ""营业总收入同比增长率"": ""24.89%"", ""流动比率"": ""0.99"", ""速动比率"": ""0.76"", ""资产负债率"": ""55.27%""}",2025-07-02,2025-07-06,10.27,10.16,-0.01071080817916259,跌2
True,"{""股票代码"": ""600548"", ""股票简称"": ""深高速"", ""总股本"": 2537856127.0, ""流通股"": 1714425983.0, ""总市值"": 22739190897.920002, ""流通市值"": 15361256807.680002, ""行业"": ""铁路公路"", ""上市时间"": ""2001-12-25""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""59.09%"", ""营业总收入同比增长率"": ""24.89%"", ""流动比率"": ""0.99"", ""速动比率"": ""0.76"", ""资产负债率"": ""55.27%""}",2025-07-09,2025-07-13,10.16,10.32,0.015748031496062964,涨2
True,"{""股票代码"": ""600548"", ""股票简称"": ""深高速"", ""总股本"": 2537856127.0, ""流通股"": 1714425983.0, ""总市值"": 22739190897.920002, ""流通市值"": 15361256807.680002, ""行业"": ""铁路公路"", ""上市时间"": ""2001-12-25""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""59.09%"", ""营业总收入同比增长率"": ""24.89%"", ""流动比率"": ""0.99"", ""速动比率"": ""0.76"", ""资产负债率"": ""55.27%""}",2025-07-16,2025-07-20,10.32,10.33,0.0009689922480620172,平
True,"{""股票代码"": ""600548"", ""股票简称"": ""深高速"", ""总股本"": 2537856127.0, ""流通股"": 1714425983.0, ""总市值"": 22739190897.920002, ""流通市值"": 15361256807.680002, ""行业"": ""铁路公路"", ""上市时间"": ""2001-12-25""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""59.09%"", ""营业总收入同比增长率"": ""24.89%"", ""流动比率"": ""0.99"", ""速动比率"": ""0.76"", ""资产负债率"": ""55.27%""}",2025-07-23,2025-07-27,10.33,10.34,0.0009680542110357404,平
True,"{""股票代码"": ""600548"", ""股票简称"": ""深高速"", ""总股本"": 2537856127.0, ""流通股"": 1714425983.0, ""总市值"": 22739190897.920002, ""流通市值"": 15361256807.680002, ""行业"": ""铁路公路"", ""上市时间"": ""2001-12-25""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""59.09%"", ""营业总收入同比增长率"": ""24.89%"", ""流动比率"": ""0.99"", ""速动比率"": ""0.76"", ""资产负债率"": ""55.27%""}",2025-07-30,2025-08-03,10.34,10.32,-0.0019342359767891004,平
