数据可用,公司信息,基本面,起始日期,结算日期,起始价,结算价,周收益率,涨跌标签
True,"{""股票代码"": ""300335"", ""股票简称"": ""迪森股份"", ""总股本"": 477012388.0, ""流通股"": 384159339.0, ""总市值"": 3172132380.2000003, ""流通市值"": 2554659604.35, ""行业"": ""电力"", ""上市时间"": ""2012-07-10""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""118.46%"", ""营业总收入同比增长率"": ""13.21%"", ""流动比率"": ""1.74"", ""速动比率"": ""1.14"", ""资产负债率"": ""28.69%""}",2025-05-28,2025-06-01,5.13,5.18,0.00974658869395717,涨1
True,"{""股票代码"": ""300335"", ""股票简称"": ""迪森股份"", ""总股本"": 477012388.0, ""流通股"": 384159339.0, ""总市值"": 3172132380.2000003, ""流通市值"": 2554659604.35, ""行业"": ""电力"", ""上市时间"": ""2012-07-10""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""118.46%"", ""营业总收入同比增长率"": ""13.21%"", ""流动比率"": ""1.74"", ""速动比率"": ""1.14"", ""资产负债率"": ""28.69%""}",2025-06-04,2025-06-08,5.18,5.28,0.01930501930501949,涨2
True,"{""股票代码"": ""300335"", ""股票简称"": ""迪森股份"", ""总股本"": 477012388.0, ""流通股"": 384159339.0, ""总市值"": 3172132380.2000003, ""流通市值"": 2554659604.35, ""行业"": ""电力"", ""上市时间"": ""2012-07-10""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""118.46%"", ""营业总收入同比增长率"": ""13.21%"", ""流动比率"": ""1.74"", ""速动比率"": ""1.14"", ""资产负债率"": ""28.69%""}",2025-06-11,2025-06-15,5.28,5.3,0.0037878787878786735,平
True,"{""股票代码"": ""300335"", ""股票简称"": ""迪森股份"", ""总股本"": 477012388.0, ""流通股"": 384159339.0, ""总市值"": 3172132380.2000003, ""流通市值"": 2554659604.35, ""行业"": ""电力"", ""上市时间"": ""2012-07-10""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""118.46%"", ""营业总收入同比增长率"": ""13.21%"", ""流动比率"": ""1.74"", ""速动比率"": ""1.14"", ""资产负债率"": ""28.69%""}",2025-06-18,2025-06-22,5.3,5.12,-0.03396226415094339,跌4
True,"{""股票代码"": ""300335"", ""股票简称"": ""迪森股份"", ""总股本"": 477012388.0, ""流通股"": 384159339.0, ""总市值"": 3172132380.2000003, ""流通市值"": 2554659604.35, ""行业"": ""电力"", ""上市时间"": ""2012-07-10""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""118.46%"", ""营业总收入同比增长率"": ""13.21%"", ""流动比率"": ""1.74"", ""速动比率"": ""1.14"", ""资产负债率"": ""28.69%""}",2025-06-25,2025-06-29,5.12,5.36,0.046875,涨5
True,"{""股票代码"": ""300335"", ""股票简称"": ""迪森股份"", ""总股本"": 477012388.0, ""流通股"": 384159339.0, ""总市值"": 3172132380.2000003, ""流通市值"": 2554659604.35, ""行业"": ""电力"", ""上市时间"": ""2012-07-10""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""13.56%"", ""营业总收入同比增长率"": ""1.80%"", ""流动比率"": ""1.63"", ""速动比率"": ""1.02"", ""资产负债率"": ""30.40%""}",2025-07-02,2025-07-06,5.36,5.98,0.11567164179104483,涨5+
True,"{""股票代码"": ""300335"", ""股票简称"": ""迪森股份"", ""总股本"": 477012388.0, ""流通股"": 384159339.0, ""总市值"": 3172132380.2000003, ""流通市值"": 2554659604.35, ""行业"": ""电力"", ""上市时间"": ""2012-07-10""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""13.56%"", ""营业总收入同比增长率"": ""1.80%"", ""流动比率"": ""1.63"", ""速动比率"": ""1.02"", ""资产负债率"": ""30.40%""}",2025-07-09,2025-07-13,5.98,6.25,0.04515050167224066,涨5
True,"{""股票代码"": ""300335"", ""股票简称"": ""迪森股份"", ""总股本"": 477012388.0, ""流通股"": 384159339.0, ""总市值"": 3172132380.2000003, ""流通市值"": 2554659604.35, ""行业"": ""电力"", ""上市时间"": ""2012-07-10""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""13.56%"", ""营业总收入同比增长率"": ""1.80%"", ""流动比率"": ""1.63"", ""速动比率"": ""1.02"", ""资产负债率"": ""30.40%""}",2025-07-16,2025-07-20,6.25,5.99,-0.04159999999999997,跌5
True,"{""股票代码"": ""300335"", ""股票简称"": ""迪森股份"", ""总股本"": 477012388.0, ""流通股"": 384159339.0, ""总市值"": 3172132380.2000003, ""流通市值"": 2554659604.35, ""行业"": ""电力"", ""上市时间"": ""2012-07-10""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""13.56%"", ""营业总收入同比增长率"": ""1.80%"", ""流动比率"": ""1.63"", ""速动比率"": ""1.02"", ""资产负债率"": ""30.40%""}",2025-07-23,2025-07-27,5.99,5.98,-0.0016694490818029983,平
True,"{""股票代码"": ""300335"", ""股票简称"": ""迪森股份"", ""总股本"": 477012388.0, ""流通股"": 384159339.0, ""总市值"": 3172132380.2000003, ""流通市值"": 2554659604.35, ""行业"": ""电力"", ""上市时间"": ""2012-07-10""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""13.56%"", ""营业总收入同比增长率"": ""1.80%"", ""流动比率"": ""1.63"", ""速动比率"": ""1.02"", ""资产负债率"": ""30.40%""}",2025-07-30,2025-08-03,5.98,5.86,-0.02006688963210701,跌3
