数据可用,公司信息,基本面,起始日期,结算日期,起始价,结算价,周收益率,涨跌标签
True,"{""股票代码"": ""002581"", ""股票简称"": ""*ST未名"", ""总股本"": 659735586.0, ""流通股"": 400791161.0, ""总市值"": 3588961587.84, ""流通市值"": 2180303915.84, ""行业"": ""生物制品"", ""上市时间"": ""2011-05-20""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""-33.01%"", ""营业总收入同比增长率"": ""-57.84%"", ""流动比率"": ""8.02"", ""速动比率"": ""6.83"", ""资产负债率"": ""8.80%""}",2025-05-28,2025-06-01,8.16,8.18,0.002450980392156854,平
True,"{""股票代码"": ""002581"", ""股票简称"": ""*ST未名"", ""总股本"": 659735586.0, ""流通股"": 400791161.0, ""总市值"": 3588961587.84, ""流通市值"": 2180303915.84, ""行业"": ""生物制品"", ""上市时间"": ""2011-05-20""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""-33.01%"", ""营业总收入同比增长率"": ""-57.84%"", ""流动比率"": ""8.02"", ""速动比率"": ""6.83"", ""资产负债率"": ""8.80%""}",2025-06-04,2025-06-08,8.18,8.21,0.0036674816625918982,平
True,"{""股票代码"": ""002581"", ""股票简称"": ""*ST未名"", ""总股本"": 659735586.0, ""流通股"": 400791161.0, ""总市值"": 3588961587.84, ""流通市值"": 2180303915.84, ""行业"": ""生物制品"", ""上市时间"": ""2011-05-20""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""-33.01%"", ""营业总收入同比增长率"": ""-57.84%"", ""流动比率"": ""8.02"", ""速动比率"": ""6.83"", ""资产负债率"": ""8.80%""}",2025-06-11,2025-06-15,8.21,9.53,0.16077953714981708,涨5+
True,"{""股票代码"": ""002581"", ""股票简称"": ""*ST未名"", ""总股本"": 659735586.0, ""流通股"": 400791161.0, ""总市值"": 3588961587.84, ""流通市值"": 2180303915.84, ""行业"": ""生物制品"", ""上市时间"": ""2011-05-20""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""-33.01%"", ""营业总收入同比增长率"": ""-57.84%"", ""流动比率"": ""8.02"", ""速动比率"": ""6.83"", ""资产负债率"": ""8.80%""}",2025-06-18,2025-06-22,9.53,8.89,-0.0671563483735571,跌5+
True,"{""股票代码"": ""002581"", ""股票简称"": ""*ST未名"", ""总股本"": 659735586.0, ""流通股"": 400791161.0, ""总市值"": 3588961587.84, ""流通市值"": 2180303915.84, ""行业"": ""生物制品"", ""上市时间"": ""2011-05-20""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""-33.01%"", ""营业总收入同比增长率"": ""-57.84%"", ""流动比率"": ""8.02"", ""速动比率"": ""6.83"", ""资产负债率"": ""8.80%""}",2025-06-25,2025-06-29,8.89,8.84,-0.0056242969628796935,跌1
True,"{""股票代码"": ""002581"", ""股票简称"": ""*ST未名"", ""总股本"": 659735586.0, ""流通股"": 400791161.0, ""总市值"": 3588961587.84, ""流通市值"": 2180303915.84, ""行业"": ""生物制品"", ""上市时间"": ""2011-05-20""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""-1493.66%"", ""营业总收入同比增长率"": ""-72.09%"", ""流动比率"": ""8.68"", ""速动比率"": ""7.65"", ""资产负债率"": ""5.23%""}",2025-07-02,2025-07-06,8.84,11.02,0.24660633484162897,涨5+
True,"{""股票代码"": ""002581"", ""股票简称"": ""*ST未名"", ""总股本"": 659735586.0, ""流通股"": 400791161.0, ""总市值"": 3588961587.84, ""流通市值"": 2180303915.84, ""行业"": ""生物制品"", ""上市时间"": ""2011-05-20""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""-1493.66%"", ""营业总收入同比增长率"": ""-72.09%"", ""流动比率"": ""8.68"", ""速动比率"": ""7.65"", ""资产负债率"": ""5.23%""}",2025-07-09,2025-07-13,11.02,8.98,-0.18511796733212338,跌5+
True,"{""股票代码"": ""002581"", ""股票简称"": ""*ST未名"", ""总股本"": 659735586.0, ""流通股"": 400791161.0, ""总市值"": 3588961587.84, ""流通市值"": 2180303915.84, ""行业"": ""生物制品"", ""上市时间"": ""2011-05-20""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""-1493.66%"", ""营业总收入同比增长率"": ""-72.09%"", ""流动比率"": ""8.68"", ""速动比率"": ""7.65"", ""资产负债率"": ""5.23%""}",2025-07-16,2025-07-20,8.98,7.47,-0.16815144766147005,跌5+
True,"{""股票代码"": ""002581"", ""股票简称"": ""*ST未名"", ""总股本"": 659735586.0, ""流通股"": 400791161.0, ""总市值"": 3588961587.84, ""流通市值"": 2180303915.84, ""行业"": ""生物制品"", ""上市时间"": ""2011-05-20""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""-1493.66%"", ""营业总收入同比增长率"": ""-72.09%"", ""流动比率"": ""8.68"", ""速动比率"": ""7.65"", ""资产负债率"": ""5.23%""}",2025-07-23,2025-07-27,7.47,7.44,-0.004016064257028051,平
True,"{""股票代码"": ""002581"", ""股票简称"": ""*ST未名"", ""总股本"": 659735586.0, ""流通股"": 400791161.0, ""总市值"": 3588961587.84, ""流通市值"": 2180303915.84, ""行业"": ""生物制品"", ""上市时间"": ""2011-05-20""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""-1493.66%"", ""营业总收入同比增长率"": ""-72.09%"", ""流动比率"": ""8.68"", ""速动比率"": ""7.65"", ""资产负债率"": ""5.23%""}",2025-07-30,2025-08-03,7.44,7.22,-0.029569892473118364,跌3
