数据可用,公司信息,基本面,起始日期,结算日期,起始价,结算价,周收益率,涨跌标签
True,"{""股票代码"": ""301163"", ""股票简称"": ""宏德股份"", ""总股本"": 81600000.0, ""流通股"": 54725639.0, ""总市值"": 2503488000.0, ""流通市值"": 1678982604.52, ""行业"": ""风电设备"", ""上市时间"": ""2022-04-19""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""-72.64%"", ""营业总收入同比增长率"": ""48.85%"", ""流动比率"": ""3.36"", ""速动比率"": ""2.27"", ""资产负债率"": ""20.86%""}",2025-05-28,2025-06-01,22.28,22.47,0.008527827648114883,涨1
True,"{""股票代码"": ""301163"", ""股票简称"": ""宏德股份"", ""总股本"": 81600000.0, ""流通股"": 54725639.0, ""总市值"": 2503488000.0, ""流通市值"": 1678982604.52, ""行业"": ""风电设备"", ""上市时间"": ""2022-04-19""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""-72.64%"", ""营业总收入同比增长率"": ""48.85%"", ""流动比率"": ""3.36"", ""速动比率"": ""2.27"", ""资产负债率"": ""20.86%""}",2025-06-04,2025-06-08,22.47,24.06,0.07076101468624829,涨5+
True,"{""股票代码"": ""301163"", ""股票简称"": ""宏德股份"", ""总股本"": 81600000.0, ""流通股"": 54725639.0, ""总市值"": 2503488000.0, ""流通市值"": 1678982604.52, ""行业"": ""风电设备"", ""上市时间"": ""2022-04-19""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""-72.64%"", ""营业总收入同比增长率"": ""48.85%"", ""流动比率"": ""3.36"", ""速动比率"": ""2.27"", ""资产负债率"": ""20.86%""}",2025-06-11,2025-06-15,24.06,23.95,-0.004571903574397296,平
True,"{""股票代码"": ""301163"", ""股票简称"": ""宏德股份"", ""总股本"": 81600000.0, ""流通股"": 54725639.0, ""总市值"": 2503488000.0, ""流通市值"": 1678982604.52, ""行业"": ""风电设备"", ""上市时间"": ""2022-04-19""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""-72.64%"", ""营业总收入同比增长率"": ""48.85%"", ""流动比率"": ""3.36"", ""速动比率"": ""2.27"", ""资产负债率"": ""20.86%""}",2025-06-18,2025-06-22,23.95,23.16,-0.03298538622129432,跌4
True,"{""股票代码"": ""301163"", ""股票简称"": ""宏德股份"", ""总股本"": 81600000.0, ""流通股"": 54725639.0, ""总市值"": 2503488000.0, ""流通市值"": 1678982604.52, ""行业"": ""风电设备"", ""上市时间"": ""2022-04-19""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""-72.64%"", ""营业总收入同比增长率"": ""48.85%"", ""流动比率"": ""3.36"", ""速动比率"": ""2.27"", ""资产负债率"": ""20.86%""}",2025-06-25,2025-06-29,23.16,24.41,0.05397236614853185,涨5+
True,"{""股票代码"": ""301163"", ""股票简称"": ""宏德股份"", ""总股本"": 81600000.0, ""流通股"": 54725639.0, ""总市值"": 2503488000.0, ""流通市值"": 1678982604.52, ""行业"": ""风电设备"", ""上市时间"": ""2022-04-19""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""175.68%"", ""营业总收入同比增长率"": ""49.33%"", ""流动比率"": ""3.25"", ""速动比率"": ""2.27"", ""资产负债率"": ""23.37%""}",2025-07-02,2025-07-06,24.41,24.5,0.0036870135190496534,平
True,"{""股票代码"": ""301163"", ""股票简称"": ""宏德股份"", ""总股本"": 81600000.0, ""流通股"": 54725639.0, ""总市值"": 2503488000.0, ""流通市值"": 1678982604.52, ""行业"": ""风电设备"", ""上市时间"": ""2022-04-19""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""175.68%"", ""营业总收入同比增长率"": ""49.33%"", ""流动比率"": ""3.25"", ""速动比率"": ""2.27"", ""资产负债率"": ""23.37%""}",2025-07-09,2025-07-13,24.5,25.49,0.04040816326530616,涨5
True,"{""股票代码"": ""301163"", ""股票简称"": ""宏德股份"", ""总股本"": 81600000.0, ""流通股"": 54725639.0, ""总市值"": 2503488000.0, ""流通市值"": 1678982604.52, ""行业"": ""风电设备"", ""上市时间"": ""2022-04-19""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""175.68%"", ""营业总收入同比增长率"": ""49.33%"", ""流动比率"": ""3.25"", ""速动比率"": ""2.27"", ""资产负债率"": ""23.37%""}",2025-07-16,2025-07-20,25.49,26.03,0.021184778344448985,涨3
True,"{""股票代码"": ""301163"", ""股票简称"": ""宏德股份"", ""总股本"": 81600000.0, ""流通股"": 54725639.0, ""总市值"": 2503488000.0, ""流通市值"": 1678982604.52, ""行业"": ""风电设备"", ""上市时间"": ""2022-04-19""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""175.68%"", ""营业总收入同比增长率"": ""49.33%"", ""流动比率"": ""3.25"", ""速动比率"": ""2.27"", ""资产负债率"": ""23.37%""}",2025-07-23,2025-07-27,26.03,26.5,0.01805608912792933,涨2
True,"{""股票代码"": ""301163"", ""股票简称"": ""宏德股份"", ""总股本"": 81600000.0, ""流通股"": 54725639.0, ""总市值"": 2503488000.0, ""流通市值"": 1678982604.52, ""行业"": ""风电设备"", ""上市时间"": ""2022-04-19""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""175.68%"", ""营业总收入同比增长率"": ""49.33%"", ""流动比率"": ""3.25"", ""速动比率"": ""2.27"", ""资产负债率"": ""23.37%""}",2025-07-30,2025-08-03,26.5,26.93,0.01622641509433964,涨2
True,"{""股票代码"": ""301163"", ""股票简称"": ""宏德股份"", ""总股本"": 81600000.0, ""流通股"": 54725639.0, ""总市值"": 2503488000.0, ""流通市值"": 1678982604.52, ""行业"": ""风电设备"", ""上市时间"": ""2022-04-19""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""175.68%"", ""营业总收入同比增长率"": ""49.33%"", ""流动比率"": ""3.25"", ""速动比率"": ""2.27"", ""资产负债率"": ""23.37%""}",2025-08-06,2025-08-10,26.93,28.65,0.0638692907538061,涨5+
True,"{""股票代码"": ""301163"", ""股票简称"": ""宏德股份"", ""总股本"": 81600000.0, ""流通股"": 54725639.0, ""总市值"": 2503488000.0, ""流通市值"": 1678982604.52, ""行业"": ""风电设备"", ""上市时间"": ""2022-04-19""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""175.68%"", ""营业总收入同比增长率"": ""49.33%"", ""流动比率"": ""3.25"", ""速动比率"": ""2.27"", ""资产负债率"": ""23.37%""}",2025-08-13,2025-08-17,28.65,28.8,0.00523560209424101,涨1
